,Date,Team,Acquired,Relinquished,Notes,Duration,Year,Season
2166,2013-06-13,Spurs,season,Patrick Mills / Patty Mills,placed on IL with right foot injury (out for season),100.0,2013,post
2171,2013-10-29,Heat,2013-10-30,Roger Mason Jr.,placed on IL,1.0,2013,post
2172,2013-10-29,Lakers,season,Elias Harris,placed on IL,100.0,2013,post
2175,2013-10-29,Magic,season,Hidayet Turkoglu / Hedo Turkoglu,placed on IL,100.0,2013,post
2176,2013-10-29,Pacers,2013-12-20,Danny Granger,placed on IL with strained left calf,52.0,2013,post
2178,2013-10-29,Wizards,2013-12-06,Otto Porter Jr.,placed on IL with strained right hip flexor,38.0,2013,post
2181,2013-10-30,Blazers,2013-11-01,Earl Watson,placed on IL with strained left calf,2.0,2013,post
2183,2013-10-30,Bobcats,2013-11-01,James Southerland,placed on IL,2.0,2013,post
2186,2013-10-30,Cavaliers,2013-11-15,Carrick Felix,placed on IL,16.0,2013,post
2187,2013-10-30,Cavaliers,2013-11-01,Sergey Karasev,placed on IL with sprained left ankle,2.0,2013,post
2189,2013-10-30,Hawks,2013-11-09,Gustavo Ayon,placed on IL with strained rotator cuff in right shoulder,10.0,2013,post
2191,2013-10-30,Heat,2013-11-01,Dwyane Wade,placed on IL with sore knees,2.0,2013,post
2192,2013-10-30,Jazz,2013-11-29,Andris Biedrins,placed on IL with sprained left (CBC) / right ankle,30.0,2013,post
2193,2013-10-30,Jazz,2013-11-20,Jeremy Evans,placed on IL with strained right rotator cuff,21.0,2013,post
2196,2013-10-30,Kings,2013-11-05,Ray McCallum Jr.,placed on IL,6.0,2013,post
2197,2013-10-30,Knicks,2013-11-16,Chris Smith (c),placed on IL,17.0,2013,post
2198,2013-10-30,Knicks,2013-10-31,Toure' Murry / Toure Murry,placed on IL,1.0,2013,post
2199,2013-10-30,Lakers,2013-11-05,Ryan Kelly,placed on IL,6.0,2013,post
2203,2013-10-30,Nets,2013-11-01,Andrei Kirilenko,placed on IL with sore back,2.0,2013,post
2205,2013-10-30,Nuggets,2013-11-13,Wilson Chandler,placed on IL with strained left hamstring,14.0,2013,post
2207,2013-10-30,Pelicans,2013-11-16,Ryan Anderson,placed on IL with fractured toe on right foot,17.0,2013,post
2208,2013-10-30,Pistons,2013-11-03,Brandon Jennings,placed on IL with impacted wisdom tooth,4.0,2013,post
2210,2013-10-30,Raptors,2013-11-01,Aaron Gray,placed on IL,2.0,2013,post
2211,2013-10-30,Raptors,season,Quincy Acy,placed on IL,100.0,2013,post
2212,2013-10-30,Rockets,2013-12-23,Isaiah Canaan,placed on IL,54.0,2013,post
2213,2013-10-30,Rockets,2014-01-18,Robert Covington,placed on IL,80.0,2013,post
2214,2013-10-30,Spurs,season,Nando De Colo,placed on IL,100.0,2013,post
2216,2013-10-30,Timberwolves,2013-11-03,A.J. Price,placed on IL,4.0,2013,post
2220,2013-10-31,Knicks,2013-11-08,Cole Aldrich,placed on IL,8.0,2013,post
2221,2013-11-01,Blazers,2013-11-05,Victor Claver,placed on IL,4.0,2013,post
2222,2013-11-01,Bobcats,2013-11-11,Al Jefferson,placed on IL with sprained right ankle,10.0,2013,post
2223,2013-11-01,Heat,2013-11-05,Roger Mason Jr.,placed on IL,4.0,2013,post
2224,2013-11-01,Nets,2013-11-09,Tornike Shengelia,placed on IL,8.0,2013,post
2225,2013-11-01,Nets,2013-11-13,Tyshawn Taylor,placed on IL,12.0,2013,post
2226,2013-11-01,Pistons,2013-11-11,Charlie Villanueva,placed on IL,10.0,2013,post
2227,2013-11-01,Raptors,2013-11-01,Quincy Acy,placed on IL,0.0,2013,post
2228,2013-11-01,Raptors,2013-11-08,Steve Novak,placed on IL with back injury,7.0,2013,post
2229,2013-11-01,Rockets,2013-11-05,Patrick Beverley,placed on IL with rib injury,4.0,2013,post
2230,2013-11-01,Spurs,2013-11-01,Nando De Colo,placed on IL,0.0,2013,post
2231,2013-11-01,Spurs,2013-11-01,Tim Duncan,placed on IL with bruised chest,0.0,2013,post
2232,2013-11-03,Pistons,2013-11-05,Josh Harrellson,placed on IL,2.0,2013,post
2233,2013-11-03,Thunder,2013-11-10,Ryan Gomes,placed on IL,7.0,2013,post
2234,2013-11-03,Timberwolves,2014-01-06,Ronny Turiaf,placed on IL with fractured right elbow,64.0,2013,post
2235,2013-11-04,Cavaliers,2013-11-06,Matthew Dellavedova,placed on IL,2.0,2013,post
2236,2013-11-05,Blazers,2013-11-08,Joel Freeland,placed on IL with strained left hip,3.0,2013,post
2237,2013-11-05,Kings,2013-11-13,Hamady Ndiaye / Hamady N'Diaye,placed on IL,8.0,2013,post
2238,2013-11-05,Lakers,2013-11-07,Elias Harris,placed on IL (P),2.0,2013,post
2239,2013-11-05,Pistons,2013-11-15,Peyton Siva,placed on IL,10.0,2013,post
2240,2013-11-05,Raptors,2013-11-06,Dwight Buycks,placed on IL,1.0,2013,post
2241,2013-11-06,Bucks,2013-11-15,Luke Ridnour,placed on IL with back injury,9.0,2013,post
2242,2013-11-06,Cavaliers,2013-11-09,Henry Sims,placed on IL,3.0,2013,post
2243,2013-11-06,Raptors,2013-11-09,Quincy Acy,placed on IL,3.0,2013,post
2244,2013-11-06,Spurs,2013-11-15,Matt Bonner,placed on IL with calf injury,9.0,2013,post
2245,2013-11-07,Heat,2013-11-09,Roger Mason Jr.,placed on IL,2.0,2013,post
2246,2013-11-07,Lakers,2013-11-08,Ryan Kelly,placed on IL,1.0,2013,post
2247,2013-11-08,Blazers,2013-11-13,Victor Claver,placed on IL,5.0,2013,post
2248,2013-11-08,Knicks,2013-12-18,Tyson Chandler,placed on IL with fractured right fibula,40.0,2013,post
2249,2013-11-08,Lakers,2013-11-12,Elias Harris,placed on IL,4.0,2013,post
2250,2013-11-08,Raptors,2013-11-13,Austin Daye,placed on IL,5.0,2013,post
2251,2013-11-09,Cavaliers,2013-11-11,Andrew Bynum,placed on IL,2.0,2013,post
2252,2013-11-09,Hawks,2013-12-06,Jared Cunningham,placed on IL,27.0,2013,post
2253,2013-11-09,Heat,2013-11-12,Udonis Haslem,placed on IL with back spasms,3.0,2013,post
2254,2013-11-09,Nets,2013-12-31,Andrei Kirilenko,placed on IL with back injury,52.0,2013,post
2255,2013-11-09,Raptors,2013-11-11,Aaron Gray,placed on IL,2.0,2013,post
2256,2013-11-10,Thunder,2013-11-13,Nick Collison,placed on IL with bruised left hip,3.0,2013,post
2257,2013-11-11,Bobcats,2013-11-13,James Southerland,placed on IL,2.0,2013,post
2258,2013-11-11,Cavaliers,2013-11-13,Sergey Karasev,placed on IL,2.0,2013,post
2259,2013-11-11,Nuggets,season,JaVale McGee,placed on IL with stress fracture in left tibia (out for season),100.0,2013,post
2260,2013-11-11,Pistons,2013-11-17,Josh Harrellson,placed on IL,6.0,2013,post
2261,2013-11-11,Raptors,2013-11-15,Steve Novak,placed on IL with back injury,4.0,2013,post
2263,2013-11-12,Lakers,2014-02-04,Steve Nash,placed on IL with sore back,84.0,2013,post
2264,2013-11-12,Warriors,2013-12-09,Toney Douglas,placed on IL with stress reaction in left tibia,27.0,2013,post
2266,2013-11-13,Kings,2013-12-01,Ray McCallum Jr.,placed on IL,18.0,2013,post
2267,2013-11-13,Nets,2013-11-16,Tornike Shengelia,placed on IL,3.0,2013,post
2268,2013-11-13,Raptors,2013-11-15,Julyan Stone,placed on IL,2.0,2013,post
2269,2013-11-15,Bobcats,2013-11-22,Al Jefferson,placed on IL with ankle injury,7.0,2013,post
2272,2013-11-15,Hawks,2013-11-16,John Jenkins,placed on IL,1.0,2013,post
2273,2013-11-15,Pistons,2013-12-10,Chauncey Billups,placed on IL with tendinitis in knee,25.0,2013,post
2274,2013-11-15,Raptors,2013-11-17,Aaron Gray,placed on IL,2.0,2013,post
2275,2013-11-15,Spurs,2013-11-23,Nando De Colo,placed on IL,8.0,2013,post
2276,2013-11-16,Cavaliers,2013-11-22,Carrick Felix,placed on IL with sports hernia,6.0,2013,post
2277,2013-11-16,Hawks,2013-11-19,Louis Williams / Lou Williams,placed on IL,3.0,2013,post
2278,2013-11-16,Knicks,2013-11-20,Metta World Peace / Ron Artest,placed on IL with sore left knee,4.0,2013,post
2279,2013-11-16,Nets,2013-11-18,Kevin Garnett,placed on IL with sprained right ankle,2.0,2013,post
2280,2013-11-16,Nets,2013-11-18,Paul Pierce,placed on IL with groin injury,2.0,2013,post
2281,2013-11-16,Pelicans,2013-12-30,Greg Stiemsma,placed on IL with sprained MCL in left knee,44.0,2013,post
2283,2013-11-17,Cavaliers,2013-11-25,Will Bynum,placed on IL with groin injury,8.0,2013,post
2284,2013-11-17,Raptors,2013-11-20,Julyan Stone,placed on IL,3.0,2013,post
2285,2013-11-18,Nets,2013-11-29,Brook Lopez,placed on IL with sprained left ankle,11.0,2013,post
2286,2013-11-18,Thunder,2013-11-24,Ryan Gomes,placed on IL,6.0,2013,post
2287,2013-11-18,Warriors,2013-11-26,Jermaine O'Neal,placed on IL with bruised right knee,8.0,2013,post
2288,2013-11-19,Hawks,2013-11-20,Paul Millsap,placed on IL with right elbow tendinitis,1.0,2013,post
2289,2013-11-19,Heat,2013-11-23,Dwyane Wade,placed on IL with sore left knee,4.0,2013,post
2290,2013-11-20,Cavaliers,2013-11-22,Tyler Zeller,placed on IL with sprained right ankle,2.0,2013,post
2291,2013-11-20,Hawks,2013-11-22,John Jenkins,placed on IL,2.0,2013,post
2293,2013-11-20,Raptors,season,Aaron Gray,placed on IL,100.0,2013,post
2294,2013-11-20,Warriors,2013-11-23,Stephen Curry,placed on IL with concussion,3.0,2013,post
2295,2013-11-21,Bulls,2013-12-13,Jimmy Butler,placed on IL with turf toe,22.0,2013,post
2296,2013-11-22,Blazers,2014-02-19,Victor Claver,placed on IL,89.0,2013,post
2297,2013-11-22,Bobcats,2013-11-29,James Southerland,placed on IL,7.0,2013,post
2298,2013-11-22,Cavaliers,2013-11-30,C.J. Miles,placed on IL with right calf injury,8.0,2013,post
2299,2013-11-22,Cavaliers,2013-11-30,Henry Sims,placed on IL,8.0,2013,post
2300,2013-11-22,Hawks,2013-11-23,Louis Williams / Lou Williams,placed on IL,1.0,2013,post
2301,2013-11-22,Jazz,2013-11-29,Brandon Rush,placed on IL,7.0,2013,post
2302,2013-11-22,Raptors,2013-11-29,Quincy Acy,placed on IL with sprained right ankle,7.0,2013,post
2303,2013-11-23,Hawks,2013-11-27,Elton Brand,placed on IL,4.0,2013,post
2304,2013-11-23,Heat,season,Roger Mason Jr.,placed on IL,100.0,2013,post
2305,2013-11-23,Magic,2013-11-24,Tobias Harris,placed on IL with sprained left ankle,1.0,2013,post
2306,2013-11-23,Spurs,2013-11-25,Boris Diaw,placed on IL with rib injury,2.0,2013,post
2307,2013-11-23,Warriors,2013-12-17,Andre Iguodala,placed on IL with strained left hamstring,24.0,2013,post
2308,2013-11-24,Bulls,season,Derrick Rose,placed on IL with torn meniscus in right knee (out for season),100.0,2013,post
2309,2013-11-24,Magic,2013-11-26,Kyle O'Quinn,placed on IL with sprained right ankle,2.0,2013,post
2310,2013-11-24,Thunder,2013-11-27,Russell Westbrook,placed on IL with knee injury,3.0,2013,post
2311,2013-11-25,Grizzlies,2014-01-14,Marc Gasol,placed on IL with sprained MCL in left knee,50.0,2013,post
2312,2013-11-25,Heat,2013-11-27,Mario Chalmers,placed on IL with strained hip flexor,2.0,2013,post
2313,2013-11-25,Jazz,2013-11-29,Enes Kanter,placed on IL with sprained right ankle,4.0,2013,post
2314,2013-11-25,Pistons,2013-11-29,Peyton Siva,placed on IL,4.0,2013,post
2315,2013-11-25,Spurs,2013-11-27,Aron Baynes,placed on IL,2.0,2013,post
2316,2013-11-26,Magic,2013-12-13,Tobias Harris,placed on IL with left ankle injury,17.0,2013,post
2317,2013-11-26,Raptors,2013-12-06,Austin Daye,placed on IL,10.0,2013,post
2318,2013-11-26,Warriors,2013-12-28,Ognjen Kuzmic / Ognen Kuzmic,placed on IL with fractured right hand,32.0,2013,post
2319,2013-11-26,Wizards,2013-12-16,Bradley Beal,placed on IL with stress injury in right fibula,20.0,2013,post
2320,2013-11-27,Hawks,2013-11-29,Louis Williams / Lou Williams,placed on IL,2.0,2013,post
2321,2013-11-27,Heat,2013-11-29,Shane Battier,placed on IL,2.0,2013,post
2322,2013-11-27,Spurs,2013-11-29,Nando De Colo,placed on IL,2.0,2013,post
2323,2013-11-27,Thunder,2013-12-03,Ryan Gomes,placed on IL,6.0,2013,post
2324,2013-11-29,Bobcats,2013-12-01,Michael Kidd-Gilchrist,placed on IL with foot injury,2.0,2013,post
2325,2013-11-29,Cavaliers,2013-12-15,Will Bynum,placed on IL with strained left hip,16.0,2013,post
2326,2013-11-29,Hawks,2013-12-04,Kyle Korver,placed on IL with bruised ribs,5.0,2013,post
2327,2013-11-29,Heat,2013-12-03,Roger Mason Jr.,placed on IL (P),4.0,2013,post
2328,2013-11-29,Jazz,2013-12-04,Ian Clark,placed on IL,5.0,2013,post
2329,2013-11-29,Jazz,2013-12-04,Mike Harris,placed on IL,5.0,2013,post
2330,2013-11-29,Nets,2013-12-23,Jason Terry,placed on IL with bruised left knee,24.0,2013,post
2331,2013-11-29,Pelicans,2013-12-02,Jeff Withey,placed on IL,3.0,2013,post
2332,2013-11-29,Raptors,2013-12-03,Aaron Gray,placed on IL (P),4.0,2013,post
2333,2013-11-29,Spurs,2013-11-30,(William) Tony Parker,placed on IL with sprained ankle,1.0,2013,post
2334,2013-11-30,Cavaliers,2013-12-20,Carrick Felix,placed on IL,20.0,2013,post
2336,2013-11-30,Spurs,season,Nando De Colo,placed on IL,100.0,2013,post
2337,2013-11-30,Suns,2014-01-07,Alex Len,placed on IL with left ankle injury,38.0,2013,post
2338,2013-12-01,Bobcats,2013-12-06,James Southerland,placed on IL,5.0,2013,post
2339,2013-12-01,Kings,2013-12-03,Hamady Ndiaye / Hamady N'Diaye,placed on IL,2.0,2013,post
2340,2013-12-02,Pelicans,2013-12-18,Anthony Davis,placed on IL with fractured left hand,16.0,2013,post
2342,2013-12-03,Kings,2013-12-06,DeMarcus Cousins,placed on IL with ankle injury,3.0,2013,post
2343,2013-12-03,Raptors,2013-12-08,Dwight Buycks,placed on IL,5.0,2013,post
2344,2013-12-03,Thunder,2013-12-10,Andre Roberson,placed on IL,7.0,2013,post
2345,2013-12-04,Cavaliers,2013-12-14,Henry Sims,placed on IL,10.0,2013,post
2347,2013-12-04,Jazz,2013-12-11,Marvin Williams,placed on IL with heel injury,7.0,2013,post
2348,2013-12-04,Hawks,2013-12-16,Dennis Schroder,placed on IL,12.0,2013,post
2349,2013-12-06,Bobcats,2014-01-14,Michael Kidd-Gilchrist,placed on IL with fractured left hand,39.0,2013,post
2350,2013-12-06,Jazz,2013-12-07,Ian Clark,placed on IL,1.0,2013,post
2351,2013-12-06,Raptors,season,Aaron Gray,placed on IL,100.0,2013,post
2352,2013-12-06,Wizards,2013-12-09,Kevin Seraphin,placed on IL with knee injury,3.0,2013,post
2353,2013-12-06,Hawks,2013-12-13,John Jenkins,placed on IL,7.0,2013,post
2354,2013-12-06,Kings,2013-12-07,Hamady Ndiaye / Hamady N'Diaye,placed on IL,1.0,2013,post
2355,2013-12-07,Heat,2013-12-08,Michael Beasley,placed on IL with strained left hamstring,1.0,2013,post
2356,2013-12-07,Jazz,2013-12-11,Derrick Favors,placed on IL with sore lower back,4.0,2013,post
2357,2013-12-07,Kings,2013-12-09,Ray McCallum Jr.,placed on IL,2.0,2013,post
2358,2013-12-07,Spurs,2013-12-10,Malcolm Thomas (b),placed on IL,3.0,2013,post
2359,2013-12-08,Heat,2013-12-10,Dwyane Wade,placed on IL with resting knees,2.0,2013,post
2360,2013-12-08,Raptors,2013-12-13,Tyler Hansbrough,placed on IL with sprained left shoulder,5.0,2013,post
2362,2013-12-10,Heat,2013-12-23,Michael Beasley,placed on IL with strained left hamstring,13.0,2013,post
2363,2013-12-10,Pistons,2013-12-11,Rodney Stuckey,placed on IL with knee injury,1.0,2013,post
2364,2013-12-10,Spurs,2013-12-16,Tiago Splitter,placed on IL with left calf injury,6.0,2013,post
2365,2013-12-10,Thunder,2013-12-15,Thabo Sefolosha,placed on IL with sprained right knee,5.0,2013,post
2366,2013-12-11,Clippers,2014-01-10,J.J. Redick,placed on IL with fractured right hand,30.0,2013,post
2367,2013-12-11,Jazz,2014-01-13,Ian Clark,placed on IL,33.0,2013,post
2368,2013-12-11,Jazz,2013-12-14,Mike Harris,placed on IL,3.0,2013,post
2369,2013-12-11,Pistons,2013-12-13,Chauncey Billups,placed on IL,2.0,2013,post
2370,2013-12-13,Hawks,2013-12-23,Gustavo Ayon,placed on IL,10.0,2013,post
2371,2013-12-13,Magic,2013-12-18,Solomon Jones,placed on IL,5.0,2013,post
2372,2013-12-13,Pistons,2014-02-18,Peyton Siva,placed on IL,67.0,2013,post
2373,2013-12-13,Raptors,2013-12-14,Austin Daye,placed on IL,1.0,2013,post
2374,2013-12-13,Raptors,2013-12-18,Chuck Hayes,placed on IL with irregular heartbeat,5.0,2013,post
2376,2013-12-14,Cavaliers,2013-12-17,Tyler Zeller,placed on IL with sprained right ankle,3.0,2013,post
2378,2013-12-14,Raptors,2013-12-18,Julyan Stone,placed on IL,4.0,2013,post
2379,2013-12-14,Spurs,2013-12-19,Malcolm Thomas (b),placed on IL,5.0,2013,post
2380,2013-12-14,Jazz,2013-12-21,Rudy Gobert,placed on IL,7.0,2013,post
2381,2013-12-15,Pistons,2013-12-16,Tony Mitchell (b),placed on IL,1.0,2013,post
2382,2013-12-15,Thunder,2013-12-27,Ryan Gomes,placed on IL,12.0,2013,post
2383,2013-12-16,Pistons,2013-12-18,Chauncey Billups,placed on IL,2.0,2013,post
2384,2013-12-16,Spurs,2013-12-18,Nando De Colo,placed on IL,2.0,2013,post
2385,2013-12-16,Wizards,2013-12-18,Nene / Nene Hilario / Maybyner Hilario,placed on IL with right foot tendinitis,2.0,2013,post
2386,2013-12-16,Hawks,2013-12-29,Jared Cunningham,placed on IL,13.0,2013,post
2387,2013-12-17,Cavaliers,2013-12-20,Henry Sims,placed on IL,3.0,2013,post
2388,2013-12-17,Grizzlies,season,Quincy Pondexter,placed on IL with stress fracture in right foot (out for season),100.0,2013,post
2389,2013-12-18,Knicks,2013-12-20,Amare Stoudemire / Amar'e Stoudemire,placed on IL with sore right knee,2.0,2013,post
2390,2013-12-18,Knicks,2014-01-20,Pablo Prigioni,placed on IL fractured right toe,33.0,2013,post
2392,2013-12-18,Pistons,2013-12-21,Rodney Stuckey,placed on IL with sore right shoulder,3.0,2013,post
2393,2013-12-18,Raptors,2014-01-03,Austin Daye,placed on IL,16.0,2013,post
2394,2013-12-18,Raptors,2013-12-18,Dwight Buycks,placed on IL,0.0,2013,post
2395,2013-12-18,Spurs,2013-12-21,(William) Tony Parker,placed on IL with bruised right shin,3.0,2013,post
2397,2013-12-19,Spurs,2013-12-21,Tim Duncan,placed on IL for rest,2.0,2013,post
2399,2013-12-20,Cavaliers,2013-12-26,Dion Waiters,placed on IL with sore right wrist,6.0,2013,post
2400,2013-12-20,Lakers,season,Kobe Bryant,placed on IL with fractured left tibia (out for season),100.0,2013,post
2401,2013-12-20,Pacers,2014-01-08,Solomon Hill,placed on IL,19.0,2013,post
2402,2013-12-20,Raptors,2014-01-03,Julyan Stone,placed on IL,14.0,2013,post
2403,2013-12-21,Jazz,season,Mike Harris,placed on IL,100.0,2013,post
2404,2013-12-21,Knicks,2013-12-25,Kenyon Martin,placed on IL with strained abdominal muscle,4.0,2013,post
2405,2013-12-21,Magic,2013-12-29,E'Twaun Moore,placed on IL with bruised thigh,8.0,2013,post
2406,2013-12-21,Pelicans,2013-12-27,Jason Smith,placed on IL with bone bruise in right knee,6.0,2013,post
2407,2013-12-21,Pistons,2013-12-23,Chauncey Billups,placed on IL,2.0,2013,post
2408,2013-12-21,Spurs,2014-01-19,Malcolm Thomas (b),placed on IL,29.0,2013,post
2409,2013-12-21,Spurs,2013-12-23,Nando De Colo,placed on IL,2.0,2013,post
2410,2013-12-23,Cavaliers,2013-12-28,Henry Sims,placed on IL,5.0,2013,post
2411,2013-12-23,Hawks,2013-12-26,Cartier Martin,placed on IL with sprained left ankle,3.0,2013,post
2412,2013-12-23,Heat,2013-12-25,Dwyane Wade,placed on IL with sore knee,2.0,2013,post
2413,2013-12-23,Nets,season,Brook Lopez,placed on IL with fractured right foot (out for season),100.0,2013,post
2414,2013-12-23,Pistons,2014-01-18,Tony Mitchell (b),placed on IL,26.0,2013,post
2415,2013-12-23,Rockets,2014-01-19,Patrick Beverley,placed on IL with fractured right hand,27.0,2013,post
2416,2013-12-23,Spurs,2013-12-25,Cory Joseph,placed on IL with stomach virus,2.0,2013,post
2417,2013-12-25,Heat,2013-12-27,Roger Mason Jr.,placed on IL,2.0,2013,post
2418,2013-12-25,Knicks,2014-01-07,Raymond Felton,placed on IL with strained left hamstring,13.0,2013,post
2419,2013-12-25,Spurs,2014-01-04,Nando De Colo,placed on IL,10.0,2013,post
2420,2013-12-26,Cavaliers,2013-12-28,Carrick Felix,placed on IL,2.0,2013,post
2421,2013-12-26,Hawks,2014-04-19,John Jenkins,placed on IL with leg injury,114.0,2013,post
2422,2013-12-27,Bucks,2014-02-01,Zaur Pachulia / Zaza Pachulia,placed on IL with fractured right foot,36.0,2013,post
2423,2013-12-27,Heat,2013-12-28,Dwyane Wade,placed on IL with sore knee,1.0,2013,post
2424,2013-12-27,Pelicans,2014-01-01,Eric Gordon,placed on IL with bruised right hip,5.0,2013,post
2426,2013-12-28,Cavaliers,2013-12-31,Sergey Karasev,placed on IL,3.0,2013,post
2427,2013-12-28,Hawks,2014-04-19,Al Horford,placed on IL with torn right pectoral muscle (out for season),112.0,2013,post
2428,2013-12-28,Heat,2013-12-30,LeBron James,placed on IL with strained right groin,2.0,2013,post
2429,2013-12-29,Magic,season,Solomon Jones,placed on IL,100.0,2013,post
2430,2013-12-29,Warriors,2014-02-06,Nemanja Nedovic,placed on IL with strained left hamstring,39.0,2013,post
2431,2013-12-30,Heat,2014-01-02,Chris Andersen,placed on IL with back injury,3.0,2013,post
2432,2013-12-30,Pelicans,2014-01-07,Jason Smith,placed on IL with bone bruise in right knee,8.0,2013,post
2433,2013-12-31,Cavaliers,2014-01-02,Carrick Felix,placed on IL,2.0,2013,post
2434,2014-01-01,Clippers,2014-01-06,Reggie Bullock,placed on IL,5.0,2014,regular
2435,2014-01-02,Cavaliers,2014-01-07,Kyrie Irving,placed on IL with bruised left knee,5.0,2014,regular
2436,2014-01-02,Heat,2014-01-04,James Jones (b),placed on IL,2.0,2014,regular
2437,2014-01-02,Magic,2014-01-02,Solomon Jones,placed on IL with sprained left ankle,0.0,2014,regular
2438,2014-01-03,Celtics,2014-01-13,MarShon Brooks,placed on IL,10.0,2014,regular
2439,2014-01-03,Hawks,2014-01-25,Jared Cunningham,placed on IL,22.0,2014,regular
2440,2014-01-03,Raptors,2014-01-29,Tyler Hansbrough,placed on IL with sprained left ankle,26.0,2014,regular
2441,2014-01-03,Raptors,2014-01-15,Dwight Buycks,placed on IL,12.0,2014,regular
2442,2014-01-04,Heat,2014-01-15,Shane Battier,placed on IL with sore quadriceps,11.0,2014,regular
2443,2014-01-04,Nets,2014-01-06,Kevin Garnett,placed on IL for rest,2.0,2014,regular
2444,2014-01-04,Pelicans,season,Ryan Anderson,placed on IL with concussion / herniated disc in neck (out for season),100.0,2014,regular
2445,2014-01-04,Spurs,2014-01-07,Boris Diaw,placed on IL with strep throat,3.0,2014,regular
2446,2014-01-06,Clippers,2014-02-09,Chris Paul,placed on IL with separated right shoulder,34.0,2014,regular
2447,2014-01-06,Timberwolves,season,Shabazz Muhammad,placed on IL,100.0,2014,regular
2448,2014-01-06,Nets,2014-01-11,Tornike Shengelia,placed on IL,5.0,2014,regular
2449,2014-01-07,Blazers,2014-02-07,Allen Crabbe,placed on IL,31.0,2014,regular
2450,2014-01-07,Cavaliers,2014-01-10,Jarrett Jack,placed on IL with back spasms,3.0,2014,regular
2451,2014-01-07,Jazz,2014-01-13,Rudy Gobert,placed on IL,6.0,2014,regular
2452,2014-01-07,Knicks,2014-01-24,Metta World Peace / Ron Artest,placed on IL with sore left knee,17.0,2014,regular
2453,2014-01-07,Spurs,2014-01-12,Nando De Colo,placed on IL,5.0,2014,regular
2454,2014-01-07,Suns,2014-03-12,Eric Bledsoe,placed on IL with sprained right knee,64.0,2014,regular
2455,2014-01-08,Mavericks,2014-01-13,Shawn Marion,placed on IL with bruised right shoulder,5.0,2014,regular
2456,2014-01-08,Pacers,2014-01-10,Lance Stephenson,placed on IL with bruised right knee,2.0,2014,regular
2457,2014-01-08,Timberwolves,2014-01-10,Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL with strained left groin,2.0,2014,regular
2458,2014-01-10,Cavaliers,2014-04-16,Carrick Felix,placed on IL,96.0,2014,regular
2459,2014-01-10,Cavaliers,2014-01-15,Henry Sims,placed on IL,5.0,2014,regular
2460,2014-01-10,Clippers,2014-01-15,Reggie Bullock,placed on IL,5.0,2014,regular
2461,2014-01-10,Pacers,2014-01-22,Solomon Hill,placed on IL,12.0,2014,regular
2462,2014-01-10,Timberwolves,2014-02-05,Robbie Hummel,placed on IL,26.0,2014,regular
2463,2014-01-11,Nets,2014-01-20,Deron Williams,placed on IL with sprained left ankle,9.0,2014,regular
2464,2014-01-11,Thunder,2014-01-14,Andre Roberson,placed on IL,3.0,2014,regular
2465,2014-01-12,Spurs,2014-02-01,Tiago Splitter,placed on IL with sprained right shoulder,20.0,2014,regular
2466,2014-01-13,Jazz,2014-01-21,Gordon Hayward,placed on IL with strained left hip flexor,8.0,2014,regular
2467,2014-01-13,Mavericks,2014-01-15,Shane Larkin,placed on IL with sprained right ankle,2.0,2014,regular
2468,2014-01-14,Bobcats,season,Jeffery Taylor / Jeff Taylor (b),placed on IL with torn right Achilles tendon (out for season),100.0,2014,regular
2469,2014-01-15,Cavaliers,season,Sergey Karasev,placed on IL,100.0,2014,regular
2470,2014-01-15,Clippers,season,Maalik Wayns,placed on IL,100.0,2014,regular
2471,2014-01-15,Heat,2014-01-20,Chris Andersen,placed on IL with body soreness / knee injury,5.0,2014,regular
2472,2014-01-15,Heat,2014-01-17,Mario Chalmers,placed on IL with strained right Achilles,2.0,2014,regular
2473,2014-01-15,Mavericks,2014-03-04,Gal Mekel,placed on IL with bruised knee,48.0,2014,regular
2474,2014-01-15,Raptors,season,Austin Daye,placed on IL,100.0,2014,regular
2475,2014-01-15,Spurs,2014-02-03,Danny Green,placed on IL with fractured left index finger,19.0,2014,regular
2476,2014-01-15,Timberwolves,2014-01-17,A.J. Price,placed on IL,2.0,2014,regular
2477,2014-01-17,Clippers,2014-01-18,Byron Mullens / B.J. Mullens,placed on IL,1.0,2014,regular
2478,2014-01-17,Heat,2014-01-29,Toney Douglas,placed on IL,12.0,2014,regular
2479,2014-01-17,Thunder,season,Andre Roberson,placed on IL,100.0,2014,regular
2480,2014-01-17,Timberwolves,2014-01-18,Gorgui Dieng,placed on IL,1.0,2014,regular
2481,2014-01-18,Clippers,2014-01-22,Reggie Bullock,placed on IL,4.0,2014,regular
2482,2014-01-18,Pistons,2014-02-01,Chauncey Billups,placed on IL,14.0,2014,regular
2483,2014-01-18,Rockets,2014-01-22,Francisco Garcia,placed on IL with left knee tendinitis,4.0,2014,regular
2484,2014-01-18,Timberwolves,2014-01-24,A.J. Price,placed on IL,6.0,2014,regular
2485,2014-01-18,Mavericks,2014-01-22,Ricky Ledo,placed on IL,4.0,2014,regular
2486,2014-01-19,Kings,2014-01-21,Ray McCallum Jr.,placed on IL,2.0,2014,regular
2487,2014-01-19,Raptors,season,Austin Daye,placed on IL (P),100.0,2014,regular
