,Season,Pos,Age,G,GS,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,Major Injury,Minor Injury Count,Previous Major Injury Count
18233,1,6,23,42,0,11.77857142857143,0.0254699818071558,0.0,0.2037598544572468,0.4,0.0254699818071558,0.333,0.0339599757428744,0.1018799272286234,0.0848999393571861,0.0339599757428744,0.0084899939357186,0.0509399636143117,0.0764099454214675,0,0.0,1.0
18236,1,3,27,150,14,19.325333333333333,0.0,0.0,0.2483786394370084,0.647,0.0776183248240651,0.696,0.0879674348006071,0.1345384296950462,0.025872774941355,0.036221884917897,0.0672692148475231,0.025872774941355,0.0724437698357941,0,4.0,0.0
18240,1,9,29,48,2,12.3,0.1869918699186991,0.38,0.1382113821138211,0.378,0.073170731707317,0.81,0.024390243902439,0.1626016260162601,0.073170731707317,0.032520325203252,0.016260162601626,0.032520325203252,0.089430894308943,1,0.0,0.0
18241,1,6,21,30,15,29.8,0.1577181208053691,0.261,0.3255033557046979,0.473,0.2013422818791946,0.667,0.023489932885906,0.0704697986577181,0.174496644295302,0.0536912751677852,0.0100671140939597,0.1275167785234899,0.0805369127516778,0,0.0,0.0
18242,1,13,19,31,0,10.7,0.1962616822429906,0.258,0.1121495327102803,0.528,0.0841121495327102,0.552,0.02803738317757,0.102803738317757,0.0373831775700934,0.02803738317757,0.0093457943925233,0.0186915887850467,0.0654205607476635,0,5.0,0.0
18247,1,13,29,42,0,23.8,0.226890756302521,0.369,0.2521008403361344,0.363,0.1470588235294117,0.892,0.0168067226890756,0.0798319327731092,0.042016806722689,0.0210084033613445,0.0126050420168067,0.042016806722689,0.0840336134453781,0,0.0,0.0
18248,1,3,26,152,136,32.0,0.046875,0.33,0.35,0.484,0.08125,0.655,0.053125,0.115625,0.071875,0.05,0.009375,0.046875,0.071875,0,0.0,0.0
18251,1,0,22,62,45,24.0,0.0,1.0,0.25,0.46,0.1083333333333333,0.774,0.0666666666666666,0.1791666666666666,0.0666666666666666,0.0208333333333333,0.0333333333333333,0.0416666666666666,0.1041666666666666,1,1.0,0.0
18253,1,0,25,82,59,21.1,0.0,0.0,0.3554502369668246,0.549,0.1090047393364928,0.823,0.0853080568720379,0.1848341232227488,0.0663507109004739,0.0094786729857819,0.0284360189573459,0.0426540284360189,0.1184834123222748,0,0.0,0.0
18254,0,13,20,4,0,2.5,0.12,1.0,0.2,0.5,0.4,0.5,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0,0.0,0.0
18255,0,13,29,3,3,20.0,0.065,0.25,0.135,0.125,0.015,0.0,0.0,0.1149999999999999,0.0349999999999999,0.0,0.0,0.05,0.1,0,0.0,0.0
18256,0,0,26,3,0,3.3,0.0,0.0,0.393939393939394,1.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.2121212121212121,0,0.0,0.0
18257,0,3,29,5,5,41.6,0.0528846153846153,0.273,0.485576923076923,0.337,0.173076923076923,0.889,0.1009615384615384,0.1682692307692307,0.0432692307692307,0.0096153846153846,0.0576923076923076,0.0384615384615384,0.0769230769230769,0,0.0,1.0
18258,0,13,33,10,9,27.9,0.025089605734767,0.143,0.1792114695340501,0.54,0.043010752688172,0.75,0.050179211469534,0.1362007168458781,0.053763440860215,0.086021505376344,0.039426523297491,0.046594982078853,0.0967741935483871,0,1.0,0.0
18259,0,9,24,5,2,30.0,0.0733333333333333,0.636,0.1333333333333333,0.5,0.1266666666666666,0.789,0.0933333333333333,0.1466666666666666,0.04,0.0666666666666666,0.0533333333333333,0.04,0.1,0,0.0,0.0
18260,0,13,32,6,0,23.7,0.1139240506329114,0.625,0.1772151898734177,0.6,0.0632911392405063,0.667,0.0126582278481012,0.1350210970464135,0.050632911392405,0.0295358649789029,0.0084388185654008,0.0548523206751054,0.0632911392405063,0,0.0,0.0
18261,0,3,26,4,0,23.8,0.1260504201680672,0.417,0.2521008403361344,0.458,0.0630252100840336,1.0,0.0756302521008403,0.1050420168067226,0.0966386554621848,0.0,0.0210084033613445,0.042016806722689,0.1260504201680672,0,0.0,2.0
18262,0,13,20,6,6,33.5,0.0059701492537313,0.0,0.3492537313432836,0.371,0.1134328358208955,0.739,0.0597014925373134,0.1492537313432835,0.0805970149253731,0.0149253731343283,0.044776119402985,0.053731343283582,0.0895522388059701,0,0.0,0.0
18263,0,0,32,15,1,13.3,0.1578947368421052,0.344,0.0902255639097744,0.278,0.1278195488721804,0.8,0.0451127819548872,0.1729323308270676,0.0225563909774436,0.0075187969924812,0.0150375939849624,0.0225563909774436,0.18796992481203,0,0.0,0.0
18264,0,9,29,17,17,38.5,0.1454545454545454,0.375,0.122077922077922,0.488,0.0649350649350649,0.905,0.0285714285714285,0.1402597402597402,0.0675324675324675,0.0467532467532467,0.0025974025974025,0.0363636363636363,0.0779220779220779,0,0.0,1.0
18265,0,0,28,4,4,19.8,0.0,0.0,0.1262626262626262,0.2,0.0909090909090909,0.571,0.1515151515151515,0.2171717171717171,0.0757575757575757,0.0656565656565656,0.0,0.0656565656565656,0.1262626262626262,0,0.0,0.0
18266,0,3,27,3,0,4.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.25,0.175,0.0,0.0,0.0,0.0,0,0.0,0.0
18267,0,13,32,21,0,10.9,0.1009174311926605,0.348,0.2844036697247706,0.477,0.091743119266055,0.818,0.036697247706422,0.0825688073394495,0.0825688073394495,0.0275229357798165,0.0,0.055045871559633,0.1009174311926605,0,0.0,3.0
18268,0,6,30,5,2,30.8,0.1038961038961039,0.25,0.2662337662337662,0.512,0.0389610389610389,0.833,0.0324675324675324,0.1233766233766233,0.2402597402597402,0.0259740259740259,0.0,0.0909090909090909,0.1103896103896103,0,0.0,0.0
18269,0,9,22,21,21,32.4,0.0925925925925926,0.355,0.2037037037037037,0.478,0.0493827160493827,0.735,0.0648148148148148,0.095679012345679,0.0462962962962963,0.0246913580246913,0.0154320987654321,0.0308641975308642,0.0648148148148148,0,0.0,0.0
18270,0,9,34,14,14,29.2,0.1472602739726027,0.267,0.0993150684931506,0.55,0.047945205479452,0.75,0.0376712328767123,0.1335616438356164,0.0547945205479452,0.047945205479452,0.023972602739726,0.0376712328767123,0.1335616438356164,0,0.0,2.0
18271,0,3,29,4,4,21.5,0.0,0.0,0.2325581395348837,0.35,0.1162790697674418,0.6,0.0372093023255813,0.0604651162790697,0.1162790697674418,0.013953488372093,0.0372093023255813,0.0372093023255813,0.0465116279069767,0,0.0,0.0
18272,0,9,26,5,5,41.8,0.1866028708133971,0.333,0.1483253588516746,0.355,0.062200956937799,0.769,0.0287081339712918,0.1770334928229665,0.1244019138755981,0.0047846889952153,0.0047846889952153,0.0574162679425837,0.0526315789473684,0,0.0,2.0
18273,0,6,26,6,0,20.0,0.06,0.286,0.235,0.357,0.1399999999999999,0.765,0.0349999999999999,0.09,0.15,0.015,0.015,0.0349999999999999,0.1,0,0.0,1.0
18274,0,0,28,4,0,10.0,0.0,0.0,0.25,0.3,0.08,1.0,0.08,0.18,0.03,0.0,0.0,0.08,0.2299999999999999,0,0.0,2.0
18275,0,13,25,16,2,18.9,0.0952380952380952,0.214,0.1428571428571428,0.558,0.1005291005291005,0.677,0.0105820105820105,0.164021164021164,0.0423280423280423,0.037037037037037,0.0317460317460317,0.037037037037037,0.0846560846560846,0,0.0,0.0
18276,0,13,21,10,10,41.8,0.1507177033492823,0.365,0.3277511961722488,0.423,0.1411483253588517,0.831,0.0334928229665071,0.0980861244019138,0.1100478468899521,0.0382775119617224,0.0167464114832535,0.062200956937799,0.0454545454545454,0,0.0,1.0
18277,0,13,28,7,0,16.6,0.2590361445783132,0.467,0.0783132530120482,0.667,0.1144578313253011,0.846,0.0180722891566265,0.0963855421686746,0.0843373493975903,0.0180722891566265,0.0,0.0421686746987951,0.0843373493975903,0,0.0,1.0
18278,0,6,34,5,0,8.6,0.186046511627907,0.125,0.0697674418604651,0.333,0.0465116279069767,1.0,0.0,0.0232558139534883,0.186046511627907,0.0,0.0232558139534883,0.0465116279069767,0.0930232558139535,0,0.0,1.0
18279,0,9,25,6,5,34.3,0.1603498542274052,0.333,0.1253644314868804,0.462,0.0349854227405247,0.714,0.0145772594752186,0.0962099125364431,0.0495626822157434,0.0204081632653061,0.0087463556851311,0.0379008746355685,0.0583090379008746,0,0.0,0.0
18280,0,0,30,19,18,23.2,0.0043103448275862,0.0,0.168103448275862,0.568,0.0301724137931034,0.385,0.0948275862068965,0.2543103448275862,0.0818965517241379,0.0258620689655172,0.0775862068965517,0.0603448275862068,0.1551724137931034,0,0.0,4.0
18281,0,3,34,7,0,5.1,0.2549019607843137,0.222,0.0196078431372549,0.0,0.0,0.0,0.0,0.1764705882352941,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549,0.2156862745098039,0,0.0,0.0
18282,0,13,24,4,4,33.3,0.1441441441441441,0.263,0.2342342342342342,0.452,0.054054054054054,0.857,0.024024024024024,0.0900900900900901,0.024024024024024,0.024024024024024,0.0,0.024024024024024,0.0990990990990991,0,0.0,1.0
18283,0,0,35,3,0,1.3,0.0,0.0,0.2307692307692307,0.0,0.5384615384615384,0.5,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.7692307692307692,0,0.0,1.0
18284,0,9,28,17,0,25.2,0.0992063492063492,0.286,0.2936507936507936,0.48,0.126984126984127,0.636,0.0238095238095238,0.0833333333333333,0.0436507936507936,0.0238095238095238,0.0079365079365079,0.0357142857142857,0.1111111111111111,0,0.0,2.0
18285,0,6,30,12,0,11.0,0.2,0.308,0.2636363636363636,0.371,0.0545454545454545,0.571,0.0272727272727272,0.1181818181818181,0.0818181818181818,0.0272727272727272,0.009090909090909,0.0727272727272727,0.1181818181818181,0,0.0,1.0
18286,0,13,23,2,1,5.0,0.2,0.0,0.3,0.667,0.2,1.0,0.2,0.0,0.1,0.0,0.0,0.2,0.0,0,0.0,0.0
18287,0,13,25,12,12,42.2,0.1421800947867298,0.389,0.2796208530805687,0.468,0.1421800947867298,0.819,0.0355450236966824,0.0971563981042653,0.0758293838862559,0.0568720379146919,0.0189573459715639,0.0426540284360189,0.0545023696682464,0,0.0,0.0
18288,0,9,35,2,0,3.5,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.2857142857142857,0,0.0,1.0
18289,0,13,32,3,0,10.3,0.0679611650485436,0.5,0.3883495145631068,0.5,0.1650485436893203,0.8,0.0679611650485436,0.029126213592233,0.0970873786407767,0.0679611650485436,0.029126213592233,0.1650485436893203,0.1941747572815534,0,1.0,1.0
18290,0,13,25,9,3,14.0,0.0999999999999999,0.462,0.1857142857142857,0.261,0.0642857142857143,0.375,0.0071428571428571,0.1214285714285714,0.1285714285714286,0.0714285714285714,0.0071428571428571,0.0785714285714285,0.1214285714285714,0,0.0,0.0
18291,0,0,20,17,0,7.5,0.0,0.0,0.24,0.677,0.2266666666666666,0.517,0.1066666666666666,0.2266666666666666,0.04,0.0266666666666666,0.0666666666666666,0.0266666666666666,0.1466666666666666,0,0.0,1.0
18292,0,9,28,16,16,34.9,0.1289398280802292,0.403,0.1891117478510028,0.543,0.0744985673352435,0.78,0.0458452722063037,0.1260744985673352,0.0573065902578796,0.0315186246418338,0.0085959885386819,0.0257879656160458,0.0659025787965616,0,0.0,1.0
18293,0,13,38,11,0,17.8,0.1404494382022471,0.25,0.196629213483146,0.513,0.0449438202247191,0.889,0.0674157303370786,0.1741573033707865,0.0561797752808988,0.0337078651685393,0.0112359550561797,0.0337078651685393,0.0842696629213483,0,0.0,0.0
18294,0,6,23,6,6,31.8,0.0251572327044025,0.0,0.3836477987421383,0.452,0.0628930817610062,0.583,0.0062893081761006,0.1352201257861635,0.1509433962264151,0.0377358490566037,0.0314465408805031,0.0849056603773585,0.0723270440251572,0,0.0,0.0
18295,0,0,32,5,5,32.0,0.0,0.0,0.18125,0.655,0.1625,0.5,0.16875,0.16875,0.00625,0.01875,0.0375,0.03125,0.1,0,0.0,1.0
18296,0,3,27,2,0,6.5,0.2307692307692307,0.667,0.5384615384615384,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0769230769230769,0.0,0.0,0.0769230769230769,0,1.0,0.0
