,Date,Team,Acquired,Relinquished,Notes
221,2019-11-15,Timberwolves,Keita Bates-Diop,,activated from IL
222,2019-11-15,Jazz,Dante Exum,,activated from IL
223,2019-11-16,Clippers,,Kawhi Leonard,placed on IL with bruised left knee
224,2019-11-16,Hawks,Chandler Parsons,,activated from IL
225,2019-11-16,Hawks,Evan Turner,,activated from IL
226,2019-11-16,Hornets,Dwayne Bacon,,activated from IL
227,2019-11-16,Hornets,Nicolas Batum,,activated from IL
228,2019-11-16,Pacers,,Malcolm Brogdon,placed on IL with sore lower back
229,2019-11-16,Pacers,,T.J. McConnell,placed on IL with right groin injury
230,2019-11-16,Pacers,Myles Turner,,activated from IL
231,2019-11-16,Pelicans,,Jahlil Okafor,placed on IL with sprained left ankle
232,2019-11-16,Raptors,Ogugua Anunoby / O.G. Anunoby,,activated from IL
233,2019-11-17,Cavaliers,,Larry Nance Jr.,placed on IL with sprained left thumb
234,2019-11-17,Cavaliers,Ante Zizic,,activated from IL
235,2019-11-17,Kings,Trevor Ariza,,activated from IL
236,2019-11-17,Pelicans,,Derrick Favors,placed on IL with lower back spasms
237,2019-11-17,Timberwolves,,Andrew Wiggins,placed on IL with illness
238,2019-11-17,Pelicans,Jahlil Okafor,,activated from IL
239,2019-11-18,Bulls,,Luke Kornet,placed on IL recovering from surgery on sinus
240,2019-11-18,Cavaliers,,Kevin Love,placed on IL with bruised lower back
241,2019-11-18,Clippers,Patrick Beverley,,activated from IL
242,2019-11-18,Nets,,Kyrie Irving,placed on IL with right shoulder injury
243,2019-11-18,Raptors,,Stanley Johnson,placed on IL with left groin injury
244,2019-11-18,Rockets,Clint Capela,,activated from IL
245,2019-11-18,Rockets,Danuel House,,activated from IL
246,2019-11-18,Timberwolves,,Shabazz Napier,placed on IL with strained right hamstring
247,2019-11-18,Timberwolves,Naz Reid,,activated from IL
248,2019-11-19,Kings,,Trevor Ariza,placed on IL with right groin injury
249,2019-11-20,76ers,,Josh Richardson,placed on IL with right hip flexor injury
250,2019-11-20,Bulls,,Chandler Hutchison,placed on IL with shin injury
251,2019-11-20,Bulls,Max Strus,,activated from IL
252,2019-11-20,Cavaliers,,Brandon Knight,placed on IL with sprained right ankle
253,2019-11-20,Cavaliers,,Tristan Thompson,placed on IL
254,2019-11-20,Cavaliers,Kevin Love,,activated from IL
255,2019-11-20,Cavaliers,Larry Nance Jr.,,activated from IL
256,2019-11-20,Clippers,Kawhi Leonard,,activated from IL
257,2019-11-20,Jazz,,Nigel Williams-Goss,placed on IL
258,2019-11-20,Magic,,Michael Carter-Williams,placed on IL with hip injury
259,2019-11-20,Magic,Jonathan Isaac,,activated from IL
260,2019-11-20,Mavericks,,Seth Curry,placed on IL with illness
261,2019-11-20,Mavericks,Ryan Broekhoff,,activated from IL
262,2019-11-20,Spurs,,Derrick White,placed on IL with sore left foot
263,2019-11-20,Timberwolves,,Jake Layman,placed on IL with toe injury
264,2019-11-20,Timberwolves,,Naz Reid,placed on IL
265,2019-11-20,Timberwolves,Shabazz Napier,,activated from IL
266,2019-11-20,Blazers,Pau Gasol,,activated from IL
267,2019-11-21,Blazers,,Hassan Whiteside,placed on IL with right hip injury
268,2019-11-21,Pelicans,Lonzo Ball,,activated from IL
269,2019-11-22,Cavaliers,Brandon Knight,,activated from IL
270,2019-11-22,Cavaliers,Tristan Thompson,,activated from IL
271,2019-11-22,Hawks,,Cameron Reddish / Cam Reddish,placed on IL with sprained left wrist
272,2019-11-22,Rockets,,Danuel House,placed on IL with sore left shoulder
273,2019-11-23,76ers,,Furkan Korkmaz,placed on IL with sprained left ankle
274,2019-11-23,76ers,Josh Richardson,,activated from IL
275,2019-11-23,Blazers,,Damian Lillard,placed on IL with back spasms
276,2019-11-23,Blazers,Damian Lillard,,activated from IL
277,2019-11-23,Bucks,,Ersan Ilyasova,placed on IL with sore left heel
278,2019-11-23,Bucks,Dragan Bender,,activated from IL
279,2019-11-23,Bulls,Chandler Hutchison,,activated from IL
280,2019-11-23,Grizzlies,Grayson Allen,,activated from IL
281,2019-11-23,Magic,,Aaron Gordon,placed on IL with bruised right ankle
282,2019-11-23,Pacers,,JaKarr Sampson,placed on IL with sore back
283,2019-11-23,Pacers,Jeremy Lamb,,activated from IL
284,2019-11-23,Pacers,T.J. McConnell,,activated from IL
285,2019-11-23,Pistons,,Blake Griffin,placed on IL with left hamstring injury
286,2019-11-23,Pistons,,Tony Snell,placed on IL with strained left hip
287,2019-11-23,Pistons,Jordan Bone,,activated from IL
288,2019-11-23,Pistons,Sekou Doumbouya,,activated from IL
289,2019-11-23,Raptors,,Dewan Hernandez,placed on IL with sprained right thumb
290,2019-11-23,Spurs,Derrick White,,activated from IL
291,2019-11-23,Timberwolves,,Robert Covington,placed on IL for personal reasons
292,2019-11-24,Mavericks,,Ryan Broekhoff,placed on IL
293,2019-11-24,Mavericks,Seth Curry,,activated from IL
294,2019-11-24,Rockets,Danuel House,,activated from IL
295,2019-11-25,76ers,,Kyle O'Quinn,placed on IL with strained left calf
296,2019-11-25,76ers,Furkan Korkmaz,,activated from IL
297,2019-11-25,Blazers,,Gary Trent Jr.,placed on IL with strained right hamstring
298,2019-11-25,Blazers,Hassan Whiteside,,activated from IL
299,2019-11-25,Bucks,,George Hill,placed on IL with sore back
300,2019-11-25,Bucks,Ersan Ilyasova,,activated from IL
301,2019-11-25,Bulls,,Max Strus,placed on IL
302,2019-11-25,Celtics,,Daniel Theis,placed on IL with illness
303,2019-11-25,Celtics,,Kemba Walker,placed on IL with sprained neck
304,2019-11-25,Hawks,Cameron Reddish / Cam Reddish,,activated from IL
305,2019-11-25,Jazz,,Rudy Gobert,placed on IL with sprained left ankle
306,2019-11-25,Nets,,DeAndre Jordan,placed on IL with sore left ankle
307,2019-11-25,Pacers,,Nazareth Mitrou-Long / Naz Mitrou-Long / Naz Long,placed on IL
308,2019-11-25,Pacers,Malcolm Brogdon,,activated from IL
309,2019-11-25,Pistons,,Jordan Bone,placed on IL
310,2019-11-25,Pistons,,Sekou Doumbouya,placed on IL
311,2019-11-25,Pistons,Blake Griffin,,activated from IL
312,2019-11-25,Pistons,Tony Snell,,activated from IL
313,2019-11-25,Raptors,,Matt Thomas,placed on IL with fractured finger
314,2019-11-25,Thunder,,Hamidou Diallo,placed on IL with sprained right elbow
315,2019-11-25,Timberwolves,,Shabazz Napier,placed on IL
316,2019-11-27,Bucks,,Dragan Bender,placed on IL
317,2019-11-27,Bucks,,Thanasis Antetokounmpo,placed on IL with illness
318,2019-11-27,Bucks,Frank Mason,,activated from IL
319,2019-11-27,Bucks,Khris Middleton,,activated from IL
320,2019-11-27,Bulls,Luke Kornet,,activated from IL
321,2019-11-27,Bulls,Max Strus,,activated from IL
322,2019-11-27,Celtics,Daniel Theis,,activated from IL
323,2019-11-27,Celtics,Kemba Walker,,activated from IL
324,2019-11-27,Heat,,Derrick Jones Jr.,placed on IL with strained left hip
325,2019-11-27,Heat,Justise Winslow,,activated from IL
326,2019-11-27,Hornets,,Cody Zeller,placed on IL with bruised left hip
327,2019-11-27,Jazz,Rudy Gobert,,activated from IL
328,2019-11-27,Rockets,,Clint Capela,placed on IL with illness
329,2019-11-27,Spurs,,Chimezie Metu,placed on IL with sore left foot
330,2019-11-27,Suns,,Deandre Ayton,placed on IL with sprained right ankle
331,2019-11-27,Timberwolves,Shabazz Napier,,activated from IL
332,2019-11-27,Wizards,,C.J. Miles,placed on IL with left wrist injury
333,2019-11-29,76ers,,Josh Richardson,placed on IL with right hamstring injury
334,2019-11-29,76ers,Zhaire Smith,,activated from IL
335,2019-11-29,Bucks,,Kyle Korver,placed on IL with sore right elbow
336,2019-11-29,Bucks,,Sterling Brown,placed on IL with sprained right shoulder
337,2019-11-29,Bucks,George Hill,,activated from IL
338,2019-11-29,Bulls,,Chandler Hutchison,placed on IL with right shoulder injury
339,2019-11-29,Jazz,,Juwan Morgan,placed on IL
340,2019-11-29,Jazz,Ed Davis (Adam),,activated from IL
341,2019-11-29,Magic,Aaron Gordon,,activated from IL
342,2019-11-29,Nets,DeAndre Jordan,,activated from IL
343,2019-11-29,Warriors,,D'Angelo Russell,placed on IL with sprained right thumb
344,2019-11-30,76ers,Kyle O'Quinn,,activated from IL
345,2019-11-30,Bucks,,Brook Lopez,placed on IL with sore back
346,2019-11-30,Bucks,Dragan Bender,,activated from IL
347,2019-11-30,Bucks,Kyle Korver,,activated from IL
348,2019-11-30,Hawks,,Cameron Reddish / Cam Reddish,placed on IL with sprained left wrist
349,2019-11-30,Hornets,Cody Zeller,,activated from IL
350,2019-11-30,Rockets,,Danuel House,placed on IL with illness
351,2019-12-01,Clippers,,Rodney McGruder,placed on IL with strained right hamstring
352,2019-12-01,Grizzlies,,Ja Morant,placed on IL with back spasms
353,2019-12-01,Grizzlies,,Jonas Valanciunas,placed on IL with illness
354,2019-12-01,Grizzlies,,Kyle Anderson,placed on IL with right heel injury
355,2019-12-01,Heat,Derrick Jones Jr.,,activated from IL
356,2019-12-01,Jazz,Nigel Williams-Goss,,activated from IL
357,2019-12-01,Magic,,Al-Farouq Aminu,placed on IL with right knee injury (out for season)
358,2019-12-01,Pistons,Sekou Doumbouya,,activated from IL
359,2019-12-01,Raptors,Dewan Hernandez,,activated from IL
360,2019-12-01,Raptors,Serge Ibaka,,activated from IL
361,2019-12-01,Spurs,,LaMarcus Aldridge,placed on IL with right thigh injury
362,2019-12-01,Spurs,Chimezie Metu,,activated from IL
363,2019-12-02,76ers,,Trey Burke,placed on IL with illness
364,2019-12-02,76ers,,Zhaire Smith,placed on IL
365,2019-12-02,Bucks,,Frank Mason,placed on IL
366,2019-12-02,Bucks,Thanasis Antetokounmpo,,activated from IL
367,2019-12-02,Grizzlies,Jonas Valanciunas,,activated from IL
368,2019-12-02,Hawks,,Allen Crabbe,placed on IL with illness
369,2019-12-02,Hawks,Cameron Reddish / Cam Reddish,,activated from IL
370,2019-12-02,Kings,Trevor Ariza,,activated from IL
371,2019-12-02,Knicks,,Marcus Morris,placed on IL with neck spasms
372,2019-12-02,Suns,,Cheick Diallo,placed on IL with illness
373,2019-12-02,Suns,Ty Jerome,,activated from IL
374,2019-12-02,Warriors,Kevon Looney,,activated from IL
375,2019-12-03,Cavaliers,John Henson,,activated from IL
376,2019-12-03,Heat,,Goran Dragic,placed on IL with strained right groin
377,2019-12-03,Heat,Dion Waiters,,activated from IL
378,2019-12-03,Magic,Michael Carter-Williams,,activated from IL
379,2019-12-03,Raptors,Kyle Lowry,,activated from IL
380,2019-12-03,Rockets,Clint Capela,,activated from IL
381,2019-12-03,Spurs,LaMarcus Aldridge,,activated from IL
382,2019-12-03,Wizards,,Thomas Bryant,placed on IL with right foot injury
383,2019-12-04,Bucks,,Dragan Bender,placed on IL
384,2019-12-04,Bucks,Brook Lopez,,activated from IL
385,2019-12-04,Bucks,Sterling Brown,,activated from IL
386,2019-12-04,Bulls,,Max Strus,placed on IL
387,2019-12-04,Hawks,,Chandler Parsons,placed on IL with flu
388,2019-12-04,Hawks,,De'Andre Hunter,placed on IL with right index finger injury
389,2019-12-04,Hawks,Kevin Huerter,,activated from IL
390,2019-12-04,Jazz,,Mike Conley Jr.,placed on IL with left hamstring injury
391,2019-12-04,Kings,,Bogdan Bogdanovic,placed on IL with bruised right knee
392,2019-12-04,Magic,,Michael Carter-Williams,placed on IL with nose injury
393,2019-12-04,Suns,Cheick Diallo,,activated from IL
394,2019-12-04,Warriors,D'Angelo Russell,,activated from IL
395,2019-12-04,Jazz,Juwan Morgan,,activated from IL
396,2019-12-05,76ers,Trey Burke,,activated from IL
397,2019-12-05,Knicks,Elfrid Payton,,activated from IL
398,2019-12-05,Knicks,Marcus Morris,,activated from IL
399,2019-12-05,Pacers,Edmond Sumner,,activated from IL
400,2019-12-05,Rockets,Danuel House,,activated from IL
401,2019-12-05,Wizards,,Jordan McRae,placed on IL with surgery on finger
402,2019-12-05,Wizards,Ian Mahinmi,,activated from IL
403,2019-12-06,Cavaliers,,Kevin Love,placed on IL with illness
404,2019-12-06,Heat,,Dion Waiters,placed on IL with illness
405,2019-12-06,Kings,Bogdan Bogdanovic,,activated from IL
406,2019-12-06,Magic,Michael Carter-Williams,,activated from IL
407,2019-12-06,Pistons,,Sekou Doumbouya,placed on IL
408,2019-12-06,Thunder,,Terrance Ferguson,placed on IL with right hip injury
409,2019-12-06,Timberwolves,,Andrew Wiggins,placed on IL with sprained left thumb
410,2019-12-06,Wizards,,Isaiah Thomas,placed on IL with strained left calf
411,2019-12-07,76ers,,Joel Embiid,placed on IL with bruised left hip
412,2019-12-07,Blazers,,Rodney Hood,placed on IL with torn left Achilles tendon (out for season)
413,2019-12-07,Cavaliers,Kevin Love,,activated from IL
