,Date,Team,Acquired,Relinquished,Notes
935,2020-01-27,Timberwolves,,Allen Crabbe,placed on IL with left knee injury
936,2020-01-28,76ers,Joel Embiid,,activated from IL
937,2020-01-28,Bucks,,Giannis Antetokounmpo,placed on IL with sore right shoulder
938,2020-01-28,Celtics,,Javonte Green,placed on IL with sore left knee
939,2020-01-28,Grizzlies,,Grayson Allen,placed on IL with left hip injury
940,2020-01-28,Hawks,,Bruno Fernando,placed on IL with strained left calf
941,2020-01-28,Nets,DeAndre Jordan,,activated from IL
942,2020-01-28,Raptors,,Rondae Hollis-Jefferson,placed on IL with sprained right ankle
943,2020-01-29,Celtics,Javonte Green,,activated from IL
944,2020-01-29,Grizzlies,,De'Anthony Melton,placed on IL with sore left hand
945,2020-01-29,Grizzlies,Jae Crowder,,activated from IL
946,2020-01-29,Pacers,Malcolm Brogdon,,activated from IL
947,2020-01-29,Pacers,Victor Oladipo,,activated from IL
948,2020-01-29,Pistons,Tony Snell,,activated from IL
949,2020-01-29,Rockets,Clint Capela,,activated from IL
950,2020-01-29,Rockets,James Harden,,activated from IL
951,2020-01-29,Thunder,Abdel Nader,,activated from IL
952,2020-01-29,Thunder,Russell Westbrook,,activated from IL
953,2020-01-30,76ers,,Al Horford,placed on IL with sore left knee
954,2020-01-30,Clippers,,Terance Mann,placed on IL
955,2020-01-30,Clippers,Patrick Beverley,,activated from IL
956,2020-01-30,Clippers,Paul George,,activated from IL
957,2020-01-30,Jazz,,Mike Conley Jr.,placed on IL
958,2020-01-30,Jazz,,Tony Bradley,placed on IL with sprained right knee
959,2020-01-30,Jazz,Nigel Williams-Goss,,activated from IL
960,2020-01-30,Raptors,,Malcolm Miller,placed on IL with strained neck
961,2020-01-30,Raptors,,Marc Gasol,placed on IL with left hamstring injury
962,2020-01-30,Raptors,Patrick McCaw,,activated from IL
963,2020-01-30,Wizards,,Jordan McRae,placed on IL
964,2020-01-31,Bucks,,Donte DiVincenzo,placed on IL with sprained left ankle
965,2020-01-31,Bucks,,George Hill,placed on IL with strained left hamstring
966,2020-01-31,Bucks,Giannis Antetokounmpo,,activated from IL
967,2020-01-31,Grizzlies,,Brandon Clarke,placed on IL with sore left hip
968,2020-01-31,Grizzlies,De'Anthony Melton,,activated from IL
969,2020-01-31,Lakers,JaVale McGee,,activated from IL
970,2020-01-31,Mavericks,,Luka Doncic,placed on IL with sprained right ankle
971,2020-01-31,Pacers,Myles Turner,,activated from IL
972,2020-01-31,Rockets,,Clint Capela,placed on IL with right heel injury
973,2020-01-31,Suns,Aron Baynes,,activated from IL
974,2020-02-01,76ers,Al Horford,,activated from IL
975,2020-02-01,Bucks,Donte DiVincenzo,,activated from IL
976,2020-02-01,Celtics,,Kemba Walker,placed on IL with sore left knee
977,2020-02-01,Clippers,,Derrick Walton Jr.,placed on IL with right elbow injury
978,2020-02-01,Clippers,Terance Mann,,activated from IL
979,2020-02-01,Heat,,Gabe Vincent,placed on IL
980,2020-02-01,Heat,Kendrick Nunn,,activated from IL
981,2020-02-01,Jazz,,Nigel Williams-Goss,placed on IL
982,2020-02-01,Jazz,Mike Conley Jr.,,activated from IL
983,2020-02-01,Kings,,Dewayne Dedmon,placed on IL with flu
984,2020-02-01,Knicks,,Frank Ntilikina,placed on IL with groin injury
985,2020-02-01,Spurs,LaMarcus Aldridge,,activated from IL
986,2020-02-01,Warriors,Kevon Looney,,activated from IL
987,2020-02-01,Wizards,Garrison Mathews,,activated from IL
988,2020-02-02,Bulls,,Kris Dunn,placed on IL with sprained MCL in right knee (out for season)
989,2020-02-02,Bulls,Daniel Gafford,,activated from IL
990,2020-02-02,Grizzlies,Brandon Clarke,,activated from IL
991,2020-02-02,Nuggets,,Michael Porter Jr.,placed on IL with right ankle injury
992,2020-02-02,Raptors,,Norman Powell,placed on IL with fractured left hand
993,2020-02-02,Suns,,Cameron Johnson,placed on IL with bruised right quadriceps
994,2020-02-02,Suns,,Dario Saric,placed on IL with sprained left ankle
995,2020-02-02,Suns,,Ty Jerome,placed on IL with left calf injury
996,2020-02-02,Suns,Jalen Lecque,,activated from IL
997,2020-02-02,Suns,Jared Harper,,activated from IL
998,2020-02-02,Wizards,Moritz Wagner / Moe Wagner,,activated from IL
999,2020-02-02,Wizards,Rui Hachimura,,activated from IL
1000,2020-02-03,Cavaliers,,Tristan Thompson,placed on IL with right quadricep injury
1001,2020-02-03,Celtics,,Marcus Smart,placed on IL with bruised right thigh
1002,2020-02-03,Celtics,Enes Kanter,,activated from IL
1003,2020-02-03,Clippers,,Terance Mann,placed on IL
1004,2020-02-03,Clippers,Derrick Walton Jr.,,activated from IL
1005,2020-02-03,Hawks,,Cameron Reddish / Cam Reddish,placed on IL with concussion
1006,2020-02-03,Hawks,,De'Andre Hunter,placed on IL with sprained left ankle
1007,2020-02-03,Hawks,Evan Turner,,activated from IL
1008,2020-02-03,Hornets,,P.J. Washington,placed on IL with sprained right ankle
1009,2020-02-03,Kings,Dewayne Dedmon,,activated from IL
1010,2020-02-03,Knicks,Frank Ntilikina,,activated from IL
1011,2020-02-03,Magic,,Khem Birch,placed on IL with tightness in lower back
1012,2020-02-03,Mavericks,,Seth Curry,placed on IL with left knee injury
1013,2020-02-03,Nets,,Kyrie Irving,placed on IL with sprained right knee (out for season)
1014,2020-02-03,Pacers,,T.J. Warren,placed on IL with concussion
1015,2020-02-03,Pistons,,Derrick Rose,placed on IL with left hip injury
1016,2020-02-03,Suns,,Tyler Johnson,placed on IL with sore right knee
1017,2020-02-04,Blazers,Jusuf Nurkic,,activated from IL
1018,2020-02-04,Cavaliers,Brandon Knight,,activated from IL
1019,2020-02-04,Hornets,P.J. Washington,,activated from IL
1020,2020-02-04,Jazz,Tony Bradley,,activated from IL
1021,2020-02-04,Nuggets,Jamal Murray,,activated from IL
1022,2020-02-04,Raptors,Malcolm Miller,,activated from IL
1023,2020-02-04,Rockets,,Russell Westbrook,placed on IL with sprained left thumb
1024,2020-02-05,Celtics,,Daniel Theis,placed on IL with sprained right ankle
1025,2020-02-05,Grizzlies,,Marko Guduric,placed on IL with illness
1026,2020-02-05,Hawks,Bruno Fernando,,activated from IL
1027,2020-02-05,Hawks,De'Andre Hunter,,activated from IL
1028,2020-02-05,Heat,,Meyers Leonard,placed on IL with sprained left ankle
1029,2020-02-05,Heat,,Tyler Herro,placed on IL with sore right ankle
1030,2020-02-05,Heat,Gabe Vincent,,activated from IL
1031,2020-02-05,Magic,Khem Birch,,activated from IL
1032,2020-02-05,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sprained left ankle
1033,2020-02-05,Nets,,Nicolas Claxton,placed on IL with sore left shoulder
1034,2020-02-05,Pistons,,Markieff Morris,placed on IL with illness
1035,2020-02-05,Raptors,Rondae Hollis-Jefferson,,activated from IL
1036,2020-02-05,Thunder,,Isaiah Roby,placed on IL
1037,2020-02-05,Thunder,Terrance Ferguson,,activated from IL
1038,2020-02-05,Timberwolves,Allen Crabbe,,activated from IL
1039,2020-02-05,Hawks,,Evan Turner,placed on IL
1040,2020-02-05,Hawks,Chandler Parsons,,activated from IL
1041,2020-02-05,Timberwolves,,Keita Bates-Diop,placed on IL
1042,2020-02-06,Bulls,,Daniel Gafford,placed on IL with sprained right ankle
1043,2020-02-06,Grizzlies,Marko Guduric,,activated from IL
1044,2020-02-06,Knicks,,Allonzo Trier,placed on IL with illness
1045,2020-02-06,Knicks,,Damyean Dotson,placed on IL with illness
1046,2020-02-06,Knicks,R.J. Barrett,,activated from IL
1047,2020-02-06,Rockets,Russell Westbrook,,activated from IL
1048,2020-02-06,Grizzlies,Andre Iguodala,,activated from IL
1049,2020-02-06,Hawks,Nene / Nene Hilario / Maybyner Hilario,,activated from IL
1050,2020-02-07,76ers,Josh Richardson,,activated from IL
1051,2020-02-07,Celtics,,Gordon Hayward,placed on IL with sore left foot
1052,2020-02-07,Celtics,,Jaylen Brown,placed on IL with sprained right ankle
1053,2020-02-07,Celtics,Kemba Walker,,activated from IL
1054,2020-02-07,Celtics,Marcus Smart,,activated from IL
1055,2020-02-07,Grizzlies,,Dion Waiters,placed on IL
1056,2020-02-07,Jazz,,Ed Davis (Adam),placed on IL with back spasms
1057,2020-02-07,Mavericks,Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
1058,2020-02-07,Mavericks,Seth Curry,,activated from IL
1059,2020-02-07,Pistons,,Brandon Knight,placed on IL with sore left knee
1060,2020-02-07,Rockets,,Russell Westbrook,placed on IL
1061,2020-02-07,Suns,,Jalen Lecque,placed on IL
1062,2020-02-07,Suns,,Jared Harper,placed on IL
1063,2020-02-07,Suns,Cameron Johnson,,activated from IL
1064,2020-02-07,Suns,Ty Jerome,,activated from IL
1065,2020-02-07,Wizards,,Thomas Bryant,placed on IL with sore right foot
1066,2020-02-08,Cavaliers,Tristan Thompson,,activated from IL
1067,2020-02-08,Clippers,,Patrick Beverley,placed on IL with right groin injury
1068,2020-02-08,Clippers,Terance Mann,,activated from IL
1069,2020-02-08,Hornets,,Cody Martin,placed on IL with concussion
1070,2020-02-08,Hornets,,Nicolas Batum,placed on IL with illness
1071,2020-02-08,Knicks,Damyean Dotson,,activated from IL
1072,2020-02-08,Nets,Nicolas Claxton,,activated from IL
1073,2020-02-08,Nuggets,Jordan McRae,,activated from IL
1074,2020-02-08,Nuggets,Keita Bates-Diop,,activated from IL
1075,2020-02-08,Nuggets,Paul Millsap,,activated from IL
1076,2020-02-08,Pacers,T.J. Warren,,activated from IL
1077,2020-02-08,Raptors,,Kyle Lowry,placed on IL with neck injury
1078,2020-02-08,Timberwolves,,D'Angelo Russell,placed on IL with bruised right quadriceps
1079,2020-02-08,Warriors,Alen Smailagic,,activated from IL
1080,2020-02-09,76ers,,Zhaire Smith,placed on IL with left knee injury (out for season)
1081,2020-02-09,Bulls,,Denzel Valentine,placed on IL with left hamstring injury
1082,2020-02-09,Celtics,Daniel Theis,,activated from IL
1083,2020-02-09,Celtics,Gordon Hayward,,activated from IL
1084,2020-02-09,Celtics,Jaylen Brown,,activated from IL
1085,2020-02-09,Heat,,Jimmy Butler,placed on IL with strained right shoulder
1086,2020-02-09,Knicks,,Maurice Harkless / Moe Harkless,placed on IL with illness
1087,2020-02-09,Rockets,,Eric Gordon,placed on IL with bruised left leg
1088,2020-02-09,Rockets,Russell Westbrook,,activated from IL
1089,2020-02-10,Hawks,Cameron Reddish / Cam Reddish,,activated from IL
1090,2020-02-10,Heat,,K.Z. Okpala,placed on IL
1091,2020-02-10,Heat,Jimmy Butler,,activated from IL
1092,2020-02-10,Jazz,,Mike Conley Jr.,placed on IL
1093,2020-02-10,Pacers,,Edmond Sumner,placed on IL
1094,2020-02-10,Pistons,Brandon Knight,,activated from IL
1095,2020-02-10,Pistons,Markieff Morris,,activated from IL
1096,2020-02-10,Raptors,,Serge Ibaka,placed on IL with illness
1097,2020-02-10,Raptors,Kyle Lowry,,activated from IL
1098,2020-02-10,Suns,,Aron Baynes,placed on IL with sore left hip
1099,2020-02-10,Suns,Jalen Lecque,,activated from IL
1100,2020-02-10,Timberwolves,D'Angelo Russell,,activated from IL
1101,2020-02-11,Blazers,,Jusuf Nurkic,placed on IL
1102,2020-02-11,Blazers,,Mario Hezonja,placed on IL with sprained left ankle
1103,2020-02-11,Spurs,,DeMar DeRozan,placed on IL with back spasms
1104,2020-02-11,Thunder,,Darius Bazley,placed on IL with right knee injury
1105,2020-02-11,Suns,Tyler Johnson,,activated from IL
1106,2020-02-12,Bucks,,Kyle Korver,placed on IL with sore back
1107,2020-02-12,Cavaliers,,Kevin Love,placed on IL with sore right Achilles
1108,2020-02-12,Hawks,DeAndre' Bembry / DeAndre Bembry,,activated from IL
1109,2020-02-12,Hornets,,Terry Rozier,placed on IL with sore left knee
1110,2020-02-12,Hornets,Nicolas Batum,,activated from IL
1111,2020-02-12,Knicks,Allonzo Trier,,activated from IL
1112,2020-02-12,Magic,,Mohamed Bamba / Mo Bamba,placed on IL with illness
1113,2020-02-12,Mavericks,Luka Doncic,,activated from IL
1114,2020-02-12,Pistons,Derrick Rose,,activated from IL
1115,2020-02-12,Raptors,Serge Ibaka,,activated from IL
1116,2020-02-12,Timberwolves,,Karl-Anthony Towns,placed on IL with fractured left wrist (out for season)
1117,2020-02-13,Celtics,,Jaylen Brown,placed on IL with left calf injury
1118,2020-02-20,76ers,,Ben Simmons,placed on IL with tightness in lower back
1119,2020-02-20,Bucks,George Hill,,activated from IL
1120,2020-02-20,Bulls,Daniel Gafford,,activated from IL
1121,2020-02-20,Cavaliers,Kevin Love,,activated from IL
1122,2020-02-20,Celtics,Jaylen Brown,,activated from IL
1123,2020-02-20,Heat,,Gabe Vincent,placed on IL
1124,2020-02-20,Hornets,Cody Martin,,activated from IL
1125,2020-02-20,Hornets,Terry Rozier,,activated from IL
1126,2020-02-20,Jazz,Ed Davis (Adam),,activated from IL
1127,2020-02-20,Kings,Jabari Parker,,activated from IL
1128,2020-02-20,Magic,Mohamed Bamba / Mo Bamba,,activated from IL
1129,2020-02-20,Nuggets,Mason Plumlee,,activated from IL
1130,2020-02-20,Nuggets,Michael Porter Jr.,,activated from IL
1131,2020-02-20,Rockets,Bruno Caboclo,,activated from IL
1132,2020-02-21,Cavaliers,,Alfonzo McKinnie,placed on IL with left foot injury
1133,2020-02-21,Cavaliers,Ante Zizic,,activated from IL
1134,2020-02-21,Celtics,,Kemba Walker,placed on IL with sore left knee
1135,2020-02-21,Jazz,Mike Conley Jr.,,activated from IL
1136,2020-02-21,Knicks,,Elfrid Payton,placed on IL with sore right ankle
1137,2020-02-21,Magic,D.J. Augustine,,activated from IL
1138,2020-02-21,Nuggets,,Keita Bates-Diop,placed on IL
1139,2020-02-21,Nuggets,,Vlatko Cancar,placed on IL
1140,2020-02-21,Raptors,,Patrick McCaw,placed on IL with flu
1141,2020-02-21,Spurs,DeMar DeRozan,,activated from IL
1142,2020-02-21,Suns,,Jalen Lecque,placed on IL
1143,2020-02-21,Suns,Aron Baynes,,activated from IL
1144,2020-02-21,Suns,Dario Saric,,activated from IL
1145,2020-02-21,Suns,Jared Harper,,activated from IL
1146,2020-02-21,Thunder,,Deonte Burton,placed on IL with illness
1147,2020-02-21,Thunder,Isaiah Roby,,activated from IL
1148,2020-02-21,Timberwolves,,Jaylen Nowell,placed on IL with illness
1149,2020-02-21,Wizards,Thomas Bryant,,activated from IL
1150,2020-02-22,76ers,Ben Simmons,,activated from IL
1151,2020-02-22,Clippers,,Paul George,placed on IL with strained left hamstring
1152,2020-02-22,Hawks,,De'Andre Hunter,placed on IL for personal reasons
1153,2020-02-22,Hawks,,DeAndre' Bembry / DeAndre Bembry,placed on IL with abdominal injury
1154,2020-02-22,Kings,Alex Len,,activated from IL
1155,2020-02-22,Mavericks,,Luka Doncic,placed on IL with sore right ankle
1156,2020-02-22,Rockets,,Michael Frazier II,placed on IL
1157,2020-02-22,Rockets,Eric Gordon,,activated from IL
1158,2020-02-23,Blazers,Mario Hezonja,,activated from IL
1159,2020-02-23,Bulls,,Luke Kornet,placed on IL with sprained left ankle (out for season)
1160,2020-02-23,Pacers,,Victor Oladipo,placed on IL with sore lower back
1161,2020-02-23,Thunder,Deonte Burton,,activated from IL
1162,2020-02-23,Timberwolves,Jaylen Nowell,,activated from IL
1163,2020-02-23,Lakers,DeMarcus Cousins,,activated from IL
1164,2020-02-24,76ers,,Ben Simmons,placed on IL with back injury
1165,2020-02-24,76ers,,Norvel Pelle,placed on IL with illness
1166,2020-02-24,Bucks,,Brook Lopez,placed on IL with sore back
1167,2020-02-24,Clippers,,Terance Mann,placed on IL
1168,2020-02-24,Clippers,Patrick Beverley,,activated from IL
1169,2020-02-24,Clippers,Paul George,,activated from IL
1170,2020-02-24,Grizzlies,,Jaren Jackson Jr.,placed on IL with sprained left knee
1171,2020-02-24,Heat,Gabe Vincent,,activated from IL
1172,2020-02-24,Knicks,,Frank Ntilikina,placed on IL with groin injury
1173,2020-02-24,Mavericks,,Jalen Brunson,placed on IL with torn labrum in right shoulder (out for season)
1174,2020-02-24,Mavericks,Luka Doncic,,activated from IL
1175,2020-02-24,Timberwolves,Jake Layman,,activated from IL
1176,2020-02-24,Wizards,,Davis Bertans,placed on IL with sore right knee
1177,2020-02-25,Bucks,Brook Lopez,,activated from IL
1178,2020-02-25,Bulls,,Chandler Hutchison,placed on IL with right shoulder injury (out for season)
1179,2020-02-25,Pacers,,Jeremy Lamb,placed on IL with torn ACL in left knee (out for season)
1180,2020-02-26,Cavaliers,,Andre Drummond,placed on IL with strained left calf
1181,2020-02-26,Cavaliers,,Dante Exum,placed on IL with sprained left ankle (out for season)
1182,2020-02-26,Hawks,,Dewayne Dedmon,placed on IL with right elbow injury
1183,2020-02-26,Knicks,Elfrid Payton,,activated from IL
1184,2020-02-26,Rockets,,Eric Gordon,placed on IL with bruised right knee
1185,2020-02-26,Spurs,,LaMarcus Aldridge,placed on IL with strained right shoulder
1186,2020-02-26,Suns,,Kelly Oubre Jr.,placed on IL with right knee injury (out for season)
1187,2020-02-26,Wizards,Davis Bertans,,activated from IL
1188,2020-02-27,76ers,,Joel Embiid,placed on IL with sprained left shoulder
1189,2020-02-27,76ers,Norvel Pelle,,activated from IL
1190,2020-02-27,Kings,,De'Aaron Fox,placed on IL with abdominal injury
1191,2020-02-27,Kings,De'Aaron Fox,,activated from IL
1192,2020-02-27,Lakers,,LeBron James,placed on IL with left groin injury
1193,2020-02-27,Pacers,Victor Oladipo,,activated from IL
1194,2020-02-27,Raptors,Norman Powell,,activated from IL
1195,2020-02-27,Raptors,Patrick McCaw,,activated from IL
1196,2020-02-27,Warriors,,Alen Smailagic,placed on IL
1197,2020-02-27,Pacers,Nazareth Mitrou-Long / Naz Mitrou-Long / Naz Long,,activated from IL
1198,2020-02-28,Bucks,,Khris Middleton,placed on IL with sore neck
1199,2020-02-28,Grizzlies,,Brandon Clarke,placed on IL with right quadricep injury
1200,2020-02-28,Heat,,Gabe Vincent,placed on IL
1201,2020-02-28,Nuggets,,Noah Vonleh,placed on IL with right ankle injury
1202,2020-02-28,Nuggets,Vlatko Cancar,,activated from IL
1203,2020-02-28,Raptors,,Fred VanVleet,placed on IL with left shoulder injury
1204,2020-02-28,Raptors,,Serge Ibaka,placed on IL with sore right knee
1205,2020-02-28,Thunder,,Danilo Gallinari,placed on IL with sore left ankle
1206,2020-02-28,Wizards,,Anzejs Pasecniks,placed on IL with illness
1207,2020-02-29,Bulls,Denzel Valentine,,activated from IL
1208,2020-02-29,Bulls,Wendell Carter Jr.,,activated from IL
1209,2020-02-29,Cavaliers,,Tristan Thompson,placed on IL with bruised left knee
1210,2020-02-29,Cavaliers,Andre Drummond,,activated from IL
1211,2020-02-29,Celtics,Robert Williams III,,activated from IL
1212,2020-02-29,Heat,Gabe Vincent,,activated from IL
1213,2020-02-29,Knicks,,Dennis Smith Jr.,placed on IL with concussion
1214,2020-02-29,Knicks,,Reggie Bullock,placed on IL with illness
1215,2020-02-29,Knicks,Frank Ntilikina,,activated from IL
1216,2020-02-29,Lakers,,Danny Green,placed on IL with right hip injury
1217,2020-02-29,Lakers,LeBron James,,activated from IL
1218,2020-02-29,Pacers,Edmond Sumner,,activated from IL
1219,2020-02-29,Rockets,Eric Gordon,,activated from IL
1220,2020-03-01,Cavaliers,,Darius Garland,placed on IL with strained left groin (out for season)
1221,2020-03-01,Lakers,Danny Green,,activated from IL
1222,2020-03-01,Mavericks,,Luka Doncic,placed on IL with sprained left thumb
1223,2020-03-01,Nuggets,,Paul Millsap,placed on IL with sprained right ankle
1224,2020-03-01,Raptors,,Oshae Brissett,placed on IL
1225,2020-03-01,Raptors,Fred VanVleet,,activated from IL
1226,2020-03-01,Wizards,Anzejs Pasecniks,,activated from IL
1227,2020-03-02,Blazers,,Damian Lillard,placed on IL with strained right groin
1228,2020-03-02,Bucks,Khris Middleton,,activated from IL
1229,2020-03-02,Bulls,,Zach LaVine,placed on IL with strained left quadriceps (out for season)
1230,2020-03-02,Bulls,Otto Porter Jr.,,activated from IL
1231,2020-03-02,Magic,,Aaron Gordon,placed on IL with right knee inflammation
1232,2020-03-02,Mavericks,,Seth Curry,placed on IL with tightness in lower back
1233,2020-03-02,Mavericks,Luka Doncic,,activated from IL
1234,2020-03-02,Pacers,,Victor Oladipo,placed on IL with sore right knee
1235,2020-03-02,Spurs,,Jakob Poeltl,placed on IL with sprained MCL in right knee
1236,2020-03-02,Thunder,Danilo Gallinari,,activated from IL
1237,2020-03-03,76ers,,Josh Richardson,placed on IL with concussion
1238,2020-03-03,Celtics,,Jayson Tatum,placed on IL with illness
1239,2020-03-03,Celtics,Kemba Walker,,activated from IL
1240,2020-03-03,Hornets,,Devonte' Graham,placed on IL with sore left ankle
1241,2020-03-03,Lakers,,Alex Caruso,placed on IL with right hamstring injury
1242,2020-03-03,Nuggets,Paul Millsap,,activated from IL
1243,2020-03-03,Raptors,,Fred VanVleet,placed on IL with left shoulder injury
1244,2020-03-03,Raptors,Dewan Hernandez,,activated from IL
1245,2020-03-03,Spurs,,Marco Belinelli,placed on IL with illness
1246,2020-03-03,Thunder,,Isaiah Roby,placed on IL right foot injury (out for season)
1247,2020-03-03,Warriors,,Ky Bowman,placed on IL with sprained right ankle
1248,2020-03-04,Blazers,Damian Lillard,,activated from IL
1249,2020-03-04,Bucks,,D.J. Wilson,placed on IL
1250,2020-03-04,Bucks,,George Hill,placed on IL with groin injury
1251,2020-03-04,Bulls,Lauri Markkanen,,activated from IL
1252,2020-03-04,Celtics,,Gordon Hayward,placed on IL with bruised right knee
1253,2020-03-04,Celtics,,Jaylen Brown,placed on IL with strained right hamstring
1254,2020-03-04,Celtics,Jayson Tatum,,activated from IL
1255,2020-03-04,Knicks,,Mitchell Robinson,placed on IL with left hamstring injury
1256,2020-03-04,Knicks,Reggie Bullock,,activated from IL
1257,2020-03-04,Magic,Aaron Gordon,,activated from IL
1258,2020-03-04,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sore right ankle
1259,2020-03-04,Mavericks,Seth Curry,,activated from IL
1260,2020-03-04,Nets,,Garrett Temple,placed on IL with sprained left ankle
1261,2020-03-04,Pistons,,Bruce Brown,placed on IL with sore left knee
1262,2020-03-04,Pistons,,Derrick Rose,placed on IL with sprained right ankle (out for season)
1263,2020-03-04,Warriors,Stephen Curry,,activated from IL
1264,2020-03-05,Cavaliers,,Kevin Porter Jr.,placed on IL with concussion (out for season)
1265,2020-03-05,Hornets,Devonte' Graham,,activated from IL
1266,2020-03-05,Nuggets,Noah Vonleh,,activated from IL
1267,2020-03-05,Raptors,,Dewan Hernandez,placed on IL with sprained right ankle
1268,2020-03-05,Raptors,Serge Ibaka,,activated from IL
1269,2020-03-05,Warriors,,Kevon Looney,placed on IL with sore left hip
1270,2020-03-06,Bucks,Kyle Korver,,activated from IL
1271,2020-03-06,Celtics,,Tremont Waters,placed on IL with sprained left knee
1272,2020-03-06,Hawks,,Trae Young,placed on IL with flu
1273,2020-03-06,Hawks,Dewayne Dedmon,,activated from IL
1274,2020-03-06,Heat,,Gabe Vincent,placed on IL
1275,2020-03-06,Knicks,Mitchell Robinson,,activated from IL
1276,2020-03-06,Lakers,Alex Caruso,,activated from IL
1277,2020-03-06,Magic,,Evan Fournier,placed on IL with sprained right elbow
1278,2020-03-06,Mavericks,,Dorian Finney-Smith,placed on IL with right hip injury
1279,2020-03-06,Mavericks,,Tim Hardaway Jr.,placed on IL with illness
1280,2020-03-06,Mavericks,Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
1281,2020-03-06,Pacers,,Doug McDermott,placed on IL with toe injury
1282,2020-03-06,Pacers,,Malcolm Brogdon,placed on IL with torn left quadriceps
1283,2020-03-06,Pacers,,T.J. Warren,placed on IL with left leg injury
1284,2020-03-06,Pacers,Victor Oladipo,,activated from IL
1285,2020-03-06,Pelicans,,J.J. Redick,placed on IL with strained left hamstring
1286,2020-03-06,Pelicans,Kenrich Williams,,activated from IL
1287,2020-03-06,Pistons,Bruce Brown,,activated from IL
1288,2020-03-07,Cavaliers,Alfonzo McKinnie,,activated from IL
1289,2020-03-07,Cavaliers,Tristan Thompson,,activated from IL
1290,2020-03-07,Hawks,Trae Young,,activated from IL
1291,2020-03-07,Kings,Richaun Holmes,,activated from IL
1292,2020-03-07,Nuggets,,Vlatko Cancar,placed on IL
1293,2020-03-07,Rockets,,Eric Gordon,placed on IL with sore right knee
1294,2020-03-07,Warriors,,Draymond Green,placed on IL with sore left knee
1295,2020-03-07,Warriors,,Stephen Curry,placed on IL with flu
1296,2020-03-08,Bucks,,Giannis Antetokounmpo,placed on IL with sprained left knee
1297,2020-03-08,Bucks,D.J. Wilson,,activated from IL
1298,2020-03-08,Bucks,George Hill,,activated from IL
1299,2020-03-08,Celtics,Gordon Hayward,,activated from IL
1300,2020-03-08,Heat,Gabe Vincent,,activated from IL
1301,2020-03-08,Mavericks,,Michael Kidd-Gilchrist,placed on IL with illness
1302,2020-03-08,Mavericks,,Seth Curry,placed on IL with sprained left ankle
1303,2020-03-08,Mavericks,Tim Hardaway Jr.,,activated from IL
1304,2020-03-08,Pacers,T.J. Warren,,activated from IL
1305,2020-03-08,Pelicans,,Nickeil Alexander-Walker,placed on IL with fractured right wrist
1306,2020-03-08,Raptors,Marc Gasol,,activated from IL
1307,2020-03-08,Thunder,,Shai Gilgeous-Alexander,placed on IL with bruised right hip
1308,2020-03-08,Timberwolves,,Kelan Martin,placed on IL with sprained left ankle
1309,2020-03-08,Timberwolves,Evan Turner,,activated from IL
1310,2020-03-08,Wizards,,Anzejs Pasecniks,placed on IL with stiff neck
1311,2020-03-08,Wizards,,Ishmael Smith / Ish Smith,placed on IL with left hamstring injury
1312,2020-03-09,Bucks,,Eric Bledsoe,placed on IL with right knee injury
1313,2020-03-09,Bucks,,George Hill,placed on IL with right adductor injury
1314,2020-03-09,Spurs,Marco Belinelli,,activated from IL
1315,2020-03-10,76ers,Josh Richardson,,activated from IL
1316,2020-03-10,Knicks,Dennis Smith Jr.,,activated from IL
1317,2020-03-10,Lakers,,Dwight Howard,placed on IL with upset stomach
1318,2020-03-10,Mavericks,,Willie Cauley-Stein,placed on IL with illness
1319,2020-03-10,Mavericks,Dorian Finney-Smith,,activated from IL
1320,2020-03-10,Rockets,Eric Gordon,,activated from IL
1321,2020-03-10,Spurs,,Dejounte Murray,placed on IL with strained right calf
1322,2020-03-10,Spurs,LaMarcus Aldridge,,activated from IL
1323,2020-03-10,Warriors,Ky Bowman,,activated from IL
1324,2020-03-10,Wizards,,Isaac Bonga,placed on IL with groin injury
1325,2020-03-10,Wizards,Anzejs Pasecniks,,activated from IL
1326,2020-03-11,76ers,Joel Embiid,,activated from IL
1327,2020-03-11,Bucks,Eric Bledsoe,,activated from IL
1328,2020-03-11,Bucks,George Hill,,activated from IL
1329,2020-03-11,Heat,,Jimmy Butler,placed on IL with left big toe injury
1330,2020-03-11,Heat,Tyler Herro,,activated from IL
1331,2020-03-11,Hornets,,Terry Rozier,placed on IL with illness
1332,2020-03-11,Mavericks,,Dorian Finney-Smith,placed on IL with right hip injury
1333,2020-03-11,Mavericks,Michael Kidd-Gilchrist,,activated from IL
1334,2020-03-11,Mavericks,Willie Cauley-Stein,,activated from IL
1335,2020-03-11,Pistons,,John Henson,placed on IL with sprained left ankle (out for season)
1336,2020-03-11,Thunder,Shai Gilgeous-Alexander,,activated from IL
1337,2020-03-11,Warriors,Stephen Curry,,activated from IL
1338,2020-07-07,Nets,,Taurean Prince,COVID-19 coronavirus (out for season)
1339,2020-07-07,Nets,,Wilson Chandler,COVID-19 coronavirus (out indefinitely)
1340,2020-07-09,Wizards,Gary Payton II,,COVID-19 coronavirus (out indefinitely)
1341,2020-07-29,Celtics,Jaylen Brown,,activated from IL
