,Date,Team,Acquired,Relinquished,Notes
867,2021-01-01,Suns,,Dario Saric,right quadricep injury (DTD)
868,2021-01-02,Rockets,,James Harden,sprained right ankle (DTD)
869,2021-01-02,Suns,Dario Saric,,returned to lineup
870,2021-01-03,Blazers,Nassir Little,,returned to lineup
871,2021-01-03,Bulls,,Tomas Satoransky,COVID-19 (DTD)
872,2021-01-03,Grizzlies,Grayson Allen,,returned to lineup
873,2021-01-03,Grizzlies,Xavier Tillman,,returned to lineup
874,2021-01-03,Mavericks,,Luka Doncic,bruised left quadricep (DTD)
875,2021-01-03,Pistons,Frank Jackson,,returned to lineup
876,2021-01-03,Rockets,Ben McLemore,,returned to lineup
877,2021-01-04,Cavaliers,,Darius Garland,strained right shoulder (DTD)
878,2021-01-04,Grizzlies,,John Konchar,sprained left ankle (DTD)
879,2021-01-04,Kings,,Jabari Parker,personal reasons (DTD)
880,2021-01-04,Knicks,,Nerlens Noel,sprained left ankle (DTD)
881,2021-01-04,Mavericks,Luka Doncic,,returned to lineup
882,2021-01-04,Nets,,Spencer Dinwiddie,surgery on right knee to repair torn ACL (out for season)
883,2021-01-04,Pelicans,Wenyen Gabriel,,returned to lineup
884,2021-01-04,Rockets,James Harden,,returned to lineup
885,2021-01-05,Clippers,,Paul George,sore right ankle (DTD)
886,2021-01-05,Nets,,Rodions Kurucs,sprained left ankle (DTD)
887,2021-01-05,Rockets,,Ben McLemore,conditioning (DTD)
888,2021-01-05,Suns,Abdel Nader,,returned to lineup
889,2021-01-05,Timberwolves,Jaylen Nowell,,returned to lineup
890,2021-01-06,Clippers,Paul George,,returned to lineup
891,2021-01-06,Hornets,,Nick Richards,NBA health and safety protocols (DTD)
892,2021-01-06,Jazz,,Jarrell Brantley,birth of daughter (DTD)
893,2021-01-06,Kings,,Jabari Parker,NBA health and safety protocols (DTD)
894,2021-01-06,Knicks,Omari Spellman,,returned to lineup
895,2021-01-06,Lakers,Alex Caruso,,returned to lineup
896,2021-01-06,Magic,,Markelle Fultz,torn ACL in left knee (out for season)
897,2021-01-06,Pelicans,,Nicolo Melli,personal reasons (DTD)
898,2021-01-06,Rockets,,Christian Wood,sore left knee (DTD)
899,2021-01-07,76ers,,Terrance Ferguson,placed on IL for personal reasons
900,2021-01-07,Cavaliers,,Collin Sexton,sprained left ankle (DTD)
901,2021-01-07,Hornets,Nick Richards,,returned to lineup
902,2021-01-07,Nets,,Kyrie Irving,placed on IL for personal reasons
903,2021-01-07,Nets,,Tyler Johnson,NBA health and safety protocols (DTD)
904,2021-01-07,Nets,Rodions Kurucs,,returned to lineup
905,2021-01-08,Knicks,,Taj Gibson,NBA health and safety protocols (DTD)
906,2021-01-08,Magic,,Aaron Gordon,left hamstring injury (DTD)
907,2021-01-08,Pelicans,Nicolo Melli,,returned to lineup
908,2021-01-08,Raptors,,Kyle Lowry,placed on IR for personal reasons
909,2021-01-08,Rockets,Ben McLemore,,returned to lineup
910,2021-01-08,Rockets,Christian Wood,,returned to lineup
911,2021-01-09,76ers,,Matisse Thybulle,NBA health and safety protocols (DTD)
912,2021-01-09,76ers,,Shake Milton,NBA health and safety protocols (DTD)
913,2021-01-09,76ers,,Vincent Poirier,NBA health and safety protocols (DTD)
914,2021-01-09,Blazers,,Keljin Blevins,placed on IL for personal reasons
915,2021-01-09,Hawks,Tony Snell,,returned to lineup
916,2021-01-09,Kings,,Richaun Holmes,sore right ankle (DTD)
917,2021-01-09,Magic,Aaron Gordon,,returned to lineup
918,2021-01-09,Pacers,,T.J. McConnell,personal reasons (DTD)
919,2021-01-09,Suns,,Cameron Payne,sprained right ankle (DTD)
920,2021-01-09,Wizards,,Bradley Beal,NBA health and safety protocols (DTD)
921,2021-01-09,Wizards,,Russell Westbrook,left quadriceps injury (DTD)
922,2021-01-10,Celtics,,Javonte Green,NBA health and safety protocols (DTD)
923,2021-01-10,Celtics,,Jaylen Brown,NBA health and safety protocols (DTD)
924,2021-01-10,Celtics,,Jayson Tatum,NBA health and safety protocols (DTD)
925,2021-01-10,Celtics,,Semi Ojeleye,NBA health and safety protocols (DTD)
926,2021-01-10,Heat,,Avery Bradley,NBA health and safety protocols (DTD)
927,2021-01-10,Heat,,Goran Dragic,sore right knee (DTD)
928,2021-01-10,Lakers,,Wesley Matthews / Wes Matthews Jr.,right Achilles injury (DTD)
929,2021-01-10,Raptors,Kyle Lowry,,activated from IL
930,2021-01-10,Spurs,,DeMar DeRozan,personal reasons (DTD)
931,2021-01-10,Wizards,,Thomas Bryant,torn ACL in left knee (out for season)
932,2021-01-10,Wizards,Bradley Beal,,returned to lineup
933,2021-01-11,Heat,,Edrice Adebayo / Bam Adebayo,NBA health and safety protocols (DTD)
934,2021-01-11,Heat,,Jimmy Butler,NBA health and safety protocols (DTD)
935,2021-01-11,Heat,,Udonis Haslem,NBA health and safety protocols (DTD)
936,2021-01-11,Kings,Jabari Parker,,returned to lineup
937,2021-01-11,Kings,Richaun Holmes,,returned to lineup
938,2021-01-12,76ers,,Terrance Ferguson,placed on IL for NBA health and safety protocols
939,2021-01-12,Cavaliers,,Andre Drummond,right Achilles injury (DTD)
940,2021-01-12,Heat,,Meyers Leonard,strained left shoulder (DTD)
941,2021-01-12,Knicks,Taj Gibson,,returned to lineup
942,2021-01-12,Nuggets,,Gary Harris,placed on IL for personal reasons
943,2021-01-12,Pacers,,Victor Oladipo,right knee injury (DTD)
944,2021-01-12,Wizards,,Moritz Wagner / Moe Wagner,NBA health and safety protocols (DTD)
945,2021-01-12,Wizards,,Rui Hachimura,NBA health and safety protocols (DTD)
946,2021-01-12,Jazz,Jarrell Brantley,,returned to lineup
947,2021-01-13,Grizzlies,John Konchar,,returned to lineup
948,2021-01-13,Rockets,,John Wall (Hildred),sore left knee (DTD)
949,2021-01-13,Thunder,,Al Horford,placed on IL for personal reasons
950,2021-01-13,Timberwolves,,Jake Layman,placed on IL for personal reasons
951,2021-01-14,Blazers,,Jusuf Nurkic,fractured right wrist (out indefinitely)
952,2021-01-14,Clippers,,Louis Williams / Lou Williams,sore left hip (DTD)
953,2021-01-14,Hornets,,Gordon Hayward,left hip injury (DTD)
954,2021-01-14,Magic,,Mohamed Bamba / Mo Bamba,NBA health and safety protocols (DTD)
955,2021-01-14,Pacers,T.J. McConnell,,returned to lineup
956,2021-01-14,Raptors,,Alex Len,placed on IL for personal reasons
957,2021-01-14,Rockets,,Eric Gordon,left leg injury (DTD)
958,2021-01-14,Spurs,DeMar DeRozan,,returned to lineup
959,2021-01-14,Timberwolves,,Ricky Rubio,NBA health and safety protocols (DTD)
960,2021-01-15,76ers,,(James) Mike Scott,right knee injury (DTD)
961,2021-01-15,Blazers,,C.J. Elleby,strained left foot (DTD)
962,2021-01-15,Cavaliers,Andre Drummond,,returned to lineup
963,2021-01-15,Clippers,,Patrick Beverley,placed on IL for personal reasons
964,2021-01-15,Timberwolves,,Karl-Anthony Towns,COVID-19 (DTD)
965,2021-01-16,Blazers,Keljin Blevins,,activated from IL
966,2021-01-16,Clippers,Patrick Beverley,,activated from IL
967,2021-01-16,Hawks,,Cameron Reddish / Cam Reddish,bruised left knee (DTD)
968,2021-01-16,Heat,,Tyler Herro,neck spasms (DTD)
969,2021-01-16,Heat,Edrice Adebayo / Bam Adebayo,,returned to lineup
970,2021-01-16,Heat,Udonis Haslem,,returned to lineup
971,2021-01-16,Hornets,Gordon Hayward,,returned to lineup
972,2021-01-16,Nets,Tyler Johnson,,returned to lineup
973,2021-01-16,Nuggets,Gary Harris,,activated from IL
974,2021-01-16,Rockets,,DeMarcus Cousins,sore right ankle (DTD)
975,2021-01-16,Rockets,,Sterling Brown,lower leg injury (DTD)
976,2021-01-16,Spurs,,Luka Samanic,sore throat (DTD)
977,2021-01-16,Pacers,,Caris LeVert,mass on kidney (out indefinitely)
978,2021-01-17,Blazers,,C.J. McCollum,fractured left foot (out indefinitely)
979,2021-01-17,Mavericks,,Tim Hardaway Jr.,strained left groin (DTD)
980,2021-01-17,Timberwolves,Jake Layman,,activated from IL
981,2021-01-18,Mavericks,Tim Hardaway Jr.,,returned to lineup
982,2021-01-18,Rockets,DeMarcus Cousins,,returned to lineup
983,2021-01-18,Rockets,Eric Gordon,,returned to lineup
984,2021-01-18,Suns,Cameron Payne,,returned to lineup
985,2021-01-19,Nuggets,,Greg Whittington,arthroscopic surgery on left knee (out indefinitely)
986,2021-01-19,Raptors,Alex Len,,activated from IL
987,2021-01-20,Cavaliers,Collin Sexton,,returned to lineup
988,2021-01-20,Clippers,Louis Williams / Lou Williams,,returned to lineup
989,2021-01-20,Hawks,,De'Andre Hunter,sore right knee (DTD)
990,2021-01-20,Kings,,Nemanja Bjelica,personal reasons (DTD)
991,2021-01-20,Nets,Kyrie Irving,,activated from IL
992,2021-01-20,Rockets,Sterling Brown,,returned to lineup
993,2021-01-20,Wizards,,Davis Bertans,NBA health and safety protocols (DTD)
994,2021-01-20,Wizards,,Deni Avdija,NBA health and safety protocols (DTD)
995,2021-01-20,Wizards,,Ishmael Smith / Ish Smith,NBA health and safety protocols (DTD)
996,2021-01-20,Wizards,,Troy Brown Jr.,NBA health and safety protocols (DTD)
997,2021-01-21,Spurs,Luka Samanic,,returned to lineup
998,2021-01-22,Hawks,Cameron Reddish / Cam Reddish,,returned to lineup
999,2021-01-22,Hawks,De'Andre Hunter,,returned to lineup
1000,2021-01-22,Heat,,Chris Silva,left hip flexor injury (DTD)
1001,2021-01-22,Nets,,Kevin Durant,right Achilles injury (DTD)
1002,2021-01-22,Rockets,Chris Clemons,,returned to lineup
1003,2021-01-23,Jazz,,Trent Forrest,NBA health and safety protocols (DTD)
1004,2021-01-23,Magic,Mohamed Bamba / Mo Bamba,,returned to lineup
1005,2021-01-23,Mavericks,,Kristaps Porzingis,right knee injury (DTD)
1006,2021-01-23,Nets,Kevin Durant,,returned to lineup
1007,2021-01-23,Suns,,Devin Booker,strained left hamstring (DTD)
1008,2021-01-24,Blazers,C.J. Elleby,,returned to lineup
1009,2021-01-24,Hawks,,Clint Capela,right hand injury (DTD)
1010,2021-01-24,Hawks,,Trae Young,back spasms (DTD)
1011,2021-01-24,Heat,,Maurice Harkless / Moe Harkless,left thigh injury (DTD)
1012,2021-01-24,Hornets,,Grant Riller,NBA health and safety protocols (DTD)
1013,2021-01-24,Hornets,,Nate Darling,NBA health and safety protocols (DTD)
1014,2021-01-24,Magic,,Aaron Gordon,hip injury (DTD)
1015,2021-01-24,Mavericks,Kristaps Porzingis,,returned to lineup
1016,2021-01-24,Wizards,,Raulzinho Neto / Raul Neto,left groin injury (DTD)
1017,2021-01-25,Blazers,,Robert Covington,concussion (DTD)
1018,2021-01-25,Blazers,,Rodney Hood,bruised thigh (DTD)
1019,2021-01-25,Magic,Aaron Gordon,,returned to lineup
1020,2021-01-26,Hawks,,Cameron Reddish / Cam Reddish,right Achilles injury (DTD)
1021,2021-01-26,Hawks,Clint Capela,,returned to lineup
1022,2021-01-26,Hawks,Trae Young,,returned to lineup
1023,2021-01-26,Wizards,Raulzinho Neto / Raul Neto,,returned to lineup
1024,2021-01-27,76ers,,Terrance Ferguson,placed on IL for personal reasons
1025,2021-01-27,Hawks,Cameron Reddish / Cam Reddish,,returned to lineup
1026,2021-01-27,Heat,,Goran Dragic,strained left groin (DTD)
1027,2021-01-27,Spurs,Quinndary Weatherspoon,,returned to lineup
1028,2021-01-27,Suns,,Cameron Payne,right foot injury (DTD)
1029,2021-01-27,Thunder,Al Horford,,activated from IL
1030,2021-01-27,Hornets,Grant Riller,,returned to lineup
1031,2021-01-27,Hornets,Nate Darling,,returned to lineup
1032,2021-01-28,Blazers,Rodney Hood,,returned to lineup
1033,2021-01-28,Heat,,Andre Iguodala,neck spasms (DTD)
1034,2021-01-28,Heat,,Avery Bradley,bruised right knee (DTD)
1035,2021-01-28,Heat,,Udonis Haslem,personal reasons (DTD)
1036,2021-01-28,Wizards,Moritz Wagner / Moe Wagner,,returned to lineup
1037,2021-01-29,Clippers,Jay Scrubb,,returned to lineup
1038,2021-01-29,Nets,,Kevin Durant,right Achilles injury (DTD)
1039,2021-01-29,Nets,,Norvel Pelle,NBA health and safety protocols (DTD)
1040,2021-01-29,Timberwolves,,Naz Reid,sprained right wrist (DTD)
1041,2021-01-30,Hawks,,De'Andre Hunter,right knee injury (DTD)
1042,2021-01-30,Heat,Andre Iguodala,,returned to lineup
1043,2021-01-30,Heat,Udonis Haslem,,returned to lineup
1044,2021-01-31,76ers,,Joel Embiid,back injury (DTD)
1045,2021-01-31,Celtics,,Marcus Smart,strained left calf (DTD)
1046,2021-01-31,Clippers,,Nicolas Batum,left groin injury (DTD)
1047,2021-01-31,Knicks,,Nerlens Noel,left groin injury (DTD)
1048,2021-01-31,Nets,Kevin Durant,,returned to lineup
1049,2021-01-31,Nets,Norvel Pelle,,returned to lineup
1050,2021-01-31,Rockets,,David Nwaba,sprained left ankle (DTD)
1051,2021-02-01,Cavaliers,,Andre Drummond,sore lower back (DTD)
1052,2021-02-01,Heat,Avery Bradley,,returned to lineup
1053,2021-02-01,Heat,Goran Dragic,,returned to lineup
1054,2021-02-01,Hornets,,Terry Rozier,sprained right ankle (DTD)
1055,2021-02-01,Kings,Nemanja Bjelica,,returned to lineup
1056,2021-02-01,Knicks,Nerlens Noel,,returned to lineup
1057,2021-02-01,Suns,,Abdel Nader,ankle injury (DTD)
1058,2021-02-01,Suns,Devin Booker,,returned to lineup
1059,2021-02-01,Timberwolves,Naz Reid,,returned to lineup
1060,2021-02-01,Warriors,,James Wiseman,sprained left wrist (DTD)
1061,2021-02-02,76ers,Joel Embiid,,returned to lineup
1062,2021-02-02,Clippers,Nicolas Batum,,returned to lineup
1063,2021-02-02,Heat,,Meyers Leonard,surgery on left shoulder (out for season)
1064,2021-02-02,Hornets,,P.J. Washington,sprained right foot (DTD)
1065,2021-02-02,Pistons,,Derrick Rose,stomach illness (DTD)
1066,2021-02-02,Thunder,,George Hill,surgery on right thumb (out indefinitely)
1067,2021-02-02,Thunder,,Shai Gilgeous-Alexander,sprained left knee (DTD)
1068,2021-02-03,Cavaliers,Andre Drummond,,returned to lineup
1069,2021-02-03,Suns,Abdel Nader,,returned to lineup
1070,2021-02-03,Warriors,,Kevon Looney,sprained left ankle (DTD)
1071,2021-02-03,Grizzlies,Jontay Porter,,returned to lineup
1072,2021-02-03,Thunder,Ty Jerome,,returned to lineup
1073,2021-02-04,Heat,,Avery Bradley,strained right calf (out indefinitely)
1074,2021-02-04,Thunder,,Luguentz Dort,sore left knee (DTD)
1075,2021-02-04,Warriors,,Eric Paschall,sore right knee (DTD)
1076,2021-02-05,Hornets,Terry Rozier,,returned to lineup
1077,2021-02-05,Suns,,Jae Crowder,sore right foot / sore left knee (DTD)
1078,2021-02-05,Thunder,,Theo Maledon,NBA health and safety protocols (DTD)
1079,2021-02-05,Warriors,Alen Smailagic,,returned to lineup
1080,2021-02-06,Grizzlies,,Brandon Clarke,right calf injury (DTD)
1081,2021-02-06,Heat,,Goran Dragic,sprained left ankle (DTD)
1082,2021-02-06,Hornets,,Devonte' Graham,strained left groin (DTD)
1083,2021-02-06,Magic,,Evan Fournier,lower back spasms (DTD)
1084,2021-02-06,Mavericks,,James Johnson,left knee injury (DTD)
1085,2021-02-06,Pistons,,Derrick Rose,placed on IL for personal reasons
1086,2021-02-06,Rockets,David Nwaba,,returned to lineup
1087,2021-02-06,Thunder,,Isaiah Roby,right foot injury (DTD)
1088,2021-02-06,Thunder,Luguentz Dort,,returned to lineup
1089,2021-02-06,Thunder,Shai Gilgeous-Alexander,,returned to lineup
1090,2021-02-06,Thunder,Theo Maledon,,returned to lineup
1091,2021-02-06,Warriors,,Alen Smailagic,right knee injury (DTD)
1092,2021-02-07,Grizzlies,,De'Anthony Melton,left shoulder injury (DTD)
1093,2021-02-07,Hawks,,De'Andre Hunter,surgery on right knee (out indefinitely)
1094,2021-02-07,Hornets,P.J. Washington,,returned to lineup
1095,2021-02-07,Jazz,,Juwan Morgan,illness (DTD)
1096,2021-02-07,Suns,,Abdel Nader,sore left ankle (DTD)
1097,2021-02-07,Thunder,,Mike Muscala,concussion (DTD)
1098,2021-02-07,Thunder,,Theo Maledon,NBA health and safety protocols (DTD)
1099,2021-02-08,76ers,Terrance Ferguson,,activated from IL
1100,2021-02-08,Bulls,,Chandler Hutchison,personal reasons (DTD)
1101,2021-02-08,Mavericks,James Johnson,,returned to lineup
1102,2021-02-08,Rockets,,John Wall (Hildred),left Achilles injury (DTD)
1103,2021-02-08,Suns,,Chris Paul,right hamstring injury (DTD)
1104,2021-02-08,Warriors,Eric Paschall,,returned to lineup
1105,2021-02-09,Jazz,Juwan Morgan,,returned to lineup
1106,2021-02-09,Knicks,Derrick Rose,,activated from IL
1107,2021-02-09,Rockets,John Wall (Hildred),,returned to lineup
1108,2021-02-09,Thunder,,Shai Gilgeous-Alexander,sprained left knee (DTD)
1109,2021-02-10,Pistons,,Jahlil Okafor,surgery on left knee (out indefinitely)
1110,2021-02-10,Suns,Chris Paul,,returned to lineup
1111,2021-02-10,Suns,Jae Crowder,,returned to lineup
1112,2021-02-10,Thunder,Mike Muscala,,returned to lineup
1113,2021-02-11,Grizzlies,,Desmond Bane,personal reasons (DTD)
1114,2021-02-11,Heat,,Tyler Herro,NBA health and safety protocols (DTD)
1115,2021-02-11,Heat,Maurice Harkless / Moe Harkless,,returned to lineup
1116,2021-02-11,Magic,,Al-Farouq Aminu,right knee injury (DTD)
1117,2021-02-11,Magic,,Cole Anthony,strained right shoulder (DTD)
1118,2021-02-12,Heat,Tyler Herro,,returned to lineup
1119,2021-02-12,Hornets,,Caleb Martin,NBA health and safety protocols (DTD)
1120,2021-02-12,Hornets,,Cody Martin,NBA health and safety protocols (DTD)
1121,2021-02-12,Hornets,,Jalen McDaniels,NBA health and safety protocols (DTD)
1122,2021-02-12,Hornets,,P.J. Washington,NBA health and safety protocols (DTD)
1123,2021-02-12,Hornets,Devonte' Graham,,returned to lineup
1124,2021-02-12,Kings,,De'Aaron Fox,bruised left knee (DTD)
1125,2021-02-12,Kings,,Marvin Bagley III,left calf injury (DTD)
1126,2021-02-12,Nets,,DeAndre Jordan,placed on IL for personal reasons
1127,2021-02-12,Thunder,Isaiah Roby,,returned to lineup
1128,2021-02-12,Bucks,,Jordan Nwora,sprained left ankle (DTD)
1129,2021-02-13,Nuggets,,Will Barton,placed on IL for personal reasons
1130,2021-02-13,Suns,Abdel Nader,,returned to lineup
1131,2021-02-14,Grizzlies,,Desmond Bane,placed on IL for personal reasons
1132,2021-02-14,Grizzlies,Brandon Clarke,,returned to lineup
1133,2021-02-14,Hornets,,Gordon Hayward,sore lower back (DTD)
1134,2021-02-14,Kings,De'Aaron Fox,,returned to lineup
1135,2021-02-14,Magic,,James Ennis,strained right groin (DTD)
1136,2021-02-15,76ers,,Joel Embiid,back injury (DTD)
1137,2021-02-15,Cavaliers,,Dylan Windler,sore left knee (DTD)
1138,2021-02-15,Cavaliers,,Taurean Prince,sore left ankle (DTD)
1139,2021-02-15,Clippers,,Daniel Oturu,strained right quadriceps (DTD)
1140,2021-02-15,Kings,,Richaun Holmes,sore right knee (DTD)
1141,2021-02-15,Kings,Marvin Bagley III,,returned to lineup
1142,2021-02-15,Nets,DeAndre Jordan,,activated from IL
1143,2021-02-15,Pacers,,Doug McDermott,sore right knee (DTD)
1144,2021-02-15,Rockets,,Eric Gordon,right groin injury (DTD)
1145,2021-02-15,Rockets,,P.J. Tucker,bruised left quadricep (DTD)
1146,2021-02-16,Kings,,Chimezie Metu,fractured right wrist (out indefinitely)
1147,2021-02-16,Nuggets,,Monte Morris,strained right shoulder (DTD)
1148,2021-02-16,Thunder,Theo Maledon,,returned to lineup
1149,2021-02-16,Timberwolves,,D'Angelo Russell,surgery on left knee (out indefinitely)
1150,2021-02-17,76ers,Joel Embiid,,returned to lineup
1151,2021-02-17,Clippers,,Luke Kennard,sore right knee (DTD)
1152,2021-02-17,Magic,Al-Farouq Aminu,,returned to lineup
1153,2021-02-17,Nuggets,Monte Morris,,returned to lineup
1154,2021-02-17,Pacers,Doug McDermott,,returned to lineup
1155,2021-02-17,Rockets,Eric Gordon,,returned to lineup
1156,2021-02-17,Thunder,Shai Gilgeous-Alexander,,returned to lineup
1157,2021-02-17,Warriors,,Draymond Green,sore right ankle (DTD)
1158,2021-02-18,Grizzlies,Desmond Bane,,activated from IL
1159,2021-02-19,Cavaliers,,Andre Drummond,placed on IL for personal reasons
1160,2021-02-19,Cavaliers,Dylan Windler,,returned to lineup
1161,2021-02-19,Clippers,Luke Kennard,,returned to lineup
1162,2021-02-19,Grizzlies,De'Anthony Melton,,returned to lineup
1163,2021-02-19,Hawks,,Nathan Knight,back injury (DTD)
1164,2021-02-19,Hornets,,Devonte' Graham,sore left knee (DTD)
1165,2021-02-19,Magic,James Ennis,,returned to lineup
1166,2021-02-19,Nuggets,,JaMychal Green,sprained left shoulder (DTD)
1167,2021-02-19,Nuggets,Will Barton,,activated from IL
1168,2021-02-19,Pelicans,,Steven Adams,right ankle injury (DTD)
1169,2021-02-19,Pistons,,Delon Wright,strained right groin (DTD)
1170,2021-02-19,Pistons,,Saben Lee,undisclosed (DTD)
1171,2021-02-19,Raptors,,Ogugua Anunoby / O.G. Anunoby,left calf injury (DTD)
1172,2021-02-19,Warriors,Draymond Green,,returned to lineup
1173,2021-02-20,Hornets,Cody Martin,,returned to lineup
1174,2021-02-20,Hornets,Gordon Hayward,,returned to lineup
1175,2021-02-20,Hornets,P.J. Washington,,returned to lineup
1176,2021-02-20,Warriors,,Stephen Curry,illness (DTD)
1177,2021-02-21,Kings,Richaun Holmes,,returned to lineup
1178,2021-02-21,Nets,Nicolas Claxton,,returned to lineup
1179,2021-02-21,Raptors,Ogugua Anunoby / O.G. Anunoby,,returned to lineup
1180,2021-02-22,Heat,,Tyler Herro,bruised right hip / right hip pointer (DTD)
1181,2021-02-22,Rockets,P.J. Tucker,,returned to lineup
1182,2021-02-22,Spurs,,DeMar DeRozan,personal reasons (DTD)
1183,2021-02-22,Spurs,,Derrick White,NBA health and safety protocols (DTD)
1184,2021-02-22,Spurs,,Devin Vassell,NBA health and safety protocols (DTD)
1185,2021-02-22,Spurs,,Rudy Gay,NBA health and safety protocols (DTD)
1186,2021-02-23,Mavericks,,Maximilian Kleber / Maxi Kleber,sprained left ankle (DTD)
1187,2021-02-23,Nets,,Jeff Green,bruised right shoulder (DTD)
1188,2021-02-23,Warriors,James Wiseman,,returned to lineup
1189,2021-02-23,Warriors,Kevon Looney,,returned to lineup
1190,2021-02-23,Warriors,Stephen Curry,,returned to lineup
1191,2021-02-24,Cavaliers,Taurean Prince,,returned to lineup
1192,2021-02-24,Clippers,,Patrick Patterson,placed on IL for personal reasons
1193,2021-02-24,Heat,Goran Dragic,,returned to lineup
1194,2021-02-24,Pelicans,Steven Adams,,returned to lineup
1195,2021-02-25,Bucks,,D.J. Augustine,personal reasons (DTD)
1196,2021-02-25,Mavericks,Maximilian Kleber / Maxi Kleber,,returned to lineup
1197,2021-02-25,Nuggets,Greg Whittington,,returned to lineup
1198,2021-02-25,Wizards,,Davis Bertans,sore right knee (DTD)
1199,2021-02-26,Cavaliers,,Taurean Prince,personal reasons (DTD)
1200,2021-02-26,Hornets,,Cody Zeller,bruised left hip (DTD)
1201,2021-02-26,Magic,,James Ennis,left calf injury (DTD)
1202,2021-02-26,Pacers,,JaKarr Sampson,NBA health and safety protocols (DTD)
1203,2021-02-26,Raptors,,Nick Nurse,missed game as head coach due to NBA's health and safety protocols
1204,2021-02-26,Suns,,Dario Saric,sprained right ankle (DTD)
1205,2021-02-27,Cavaliers,,Cedi Osman,back spasms (DTD)
1206,2021-02-27,Nets,,Tyler Johnson,migraine headache (DTD)
1207,2021-02-27,Nets,Jeff Green,,returned to lineup
1208,2021-02-27,Pacers,,Malcolm Brogdon,sore right knee (DTD)
1209,2021-02-27,Pacers,JaKarr Sampson,,returned to lineup
1210,2021-02-27,Pelicans,,J.J. Redick,right hamstring injury (DTD)
1211,2021-02-27,Rockets,,Victor Oladipo,right quadricep injury (DTD)
1212,2021-02-27,Spurs,DeMar DeRozan,,returned to lineup
1213,2021-02-27,Wizards,Davis Bertans,,returned to lineup
1214,2021-02-28,Bucks,D.J. Augustine,,returned to lineup
1215,2021-02-28,Heat,,Jimmy Butler,right knee inflammation (DTD)
1216,2021-02-28,Heat,Tyler Herro,,returned to lineup
1217,2021-02-28,Hornets,,Gordon Hayward,right hand injury (DTD)
1218,2021-02-28,Hornets,Caleb Martin,,returned to lineup
1219,2021-02-28,Suns,Dario Saric,,returned to lineup
1220,2021-03-01,Cavaliers,Cedi Osman,,returned to lineup
1221,2021-03-01,Nets,Tyler Johnson,,returned to lineup
1222,2021-03-01,Pacers,,Jeremy Lamb,sore left knee (DTD)
1223,2021-03-01,Pacers,Malcolm Brogdon,,returned to lineup
1224,2021-03-01,Pelicans,J.J. Redick,,returned to lineup
1225,2021-03-01,Rockets,,David Nwaba,right wrist injury (DTD)
1226,2021-03-01,Rockets,,Eric Gordon,sore left knee (DTD)
1227,2021-03-01,Rockets,,Rodions Kurucs,strained left oblique muscle (DTD)
1228,2021-03-01,Rockets,Victor Oladipo,,returned to lineup
1229,2021-03-01,Cavaliers,Taurean Prince,,returned to lineup
1230,2021-03-01,Bulls,,Devon Dotson,sprained right knee (DTD)
1231,2021-03-01,Cavaliers,,Taurean Prince,sore left ankle (DTD)
1232,2021-03-01,Kings,,Robert Woodard II,strained left hamstring (DTD)
1233,2021-03-02,Clippers,,Kawhi Leonard,back spasms (DTD)
1234,2021-03-02,Lakers,,Kyle Kuzma,bruised right heel (DTD)
1235,2021-03-02,Spurs,,LaMarcus Aldridge,illness (DTD)
1236,2021-03-03,Bulls,,Luke Kornet,placed on IL for personal reasons
1237,2021-03-03,Cavaliers,Taurean Prince,,returned to lineup
1238,2021-03-03,Hornets,,P.J. Washington,sprained right ankle (DTD)
1239,2021-03-03,Hornets,Gordon Hayward,,returned to lineup
1240,2021-03-03,Lakers,Kyle Kuzma,,returned to lineup
1241,2021-03-03,Magic,,Evan Fournier,strained left groin (DTD)
1242,2021-03-03,Pacers,Jeremy Lamb,,returned to lineup
1243,2021-03-03,Pistons,,Josh Jackson,illness (DTD)
1244,2021-03-03,Rockets,,Danuel House,bruised right knee (DTD)
1245,2021-03-03,Rockets,,David Nwaba,surgery on right wrist (out indefinitely)
1246,2021-03-04,Bucks,,Mamadi Diakite,NBA health and safety protocols (DTD)
1247,2021-03-04,Clippers,,Marcus Morris,concussion (DTD)
1248,2021-03-04,Clippers,,Paul George,dizziness (DTD)
1249,2021-03-04,Clippers,Kawhi Leonard,,returned to lineup
1250,2021-03-04,Heat,,Edrice Adebayo / Bam Adebayo,left knee tendinitis (DTD)
1251,2021-03-04,Heat,Jimmy Butler,,returned to lineup
1252,2021-03-04,Pelicans,,J.J. Redick,right heel injury (DTD)
1253,2021-03-04,Pelicans,,Zion Williamson,toe injury (DTD)
1254,2021-03-10,Clippers,Marcus Morris,,returned to lineup
1255,2021-03-10,Clippers,Patrick Patterson,,activated from IL
1256,2021-03-10,Hornets,Cody Zeller,,returned to lineup
1257,2021-03-10,Kings,Jabari Parker,,returned to lineup
1258,2021-03-10,Knicks,,Austin Rivers,placed on IL for personal reasons
1259,2021-03-10,Mavericks,,Tyrell Terry,illness (DTD)
1260,2021-03-10,Pistons,Josh Jackson,,returned to lineup
1261,2021-03-10,Spurs,,Devin Vassell,conditioning (DTD)
1262,2021-03-11,Bulls,,Chandler Hutchison,placed on IL for personal reasons
1263,2021-03-11,Bulls,Chandler Hutchison,,activated from IL
1264,2021-03-11,Bulls,Luke Kornet,,activated from IL
1265,2021-03-11,Clippers,Paul George,,returned to lineup
